Generac Holdings Price to Free Cash Flow Ratio Historical Data,Generac Holdings Price to Free Cash Flow Ratio Historical Data,Generac Holdings Price to Free Cash Flow Ratio Historical Data,Generac Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,137.0,,16.19
2024-03-31,126.14,$8.46,14.91
2023-12-31,129.24,$6.37,20.28
2023-09-30,108.96,$3.32,32.85
2023-06-30,149.13,$0.28,527.89
2023-03-31,108.01,$-0.51,0.0
2022-12-31,100.66,$-0.40,0.0
2022-09-30,178.14,$-1.03,0.0
2022-06-30,210.58,$0.77,274.41
2022-03-31,297.26,$2.18,136.53
2021-12-31,351.92,$4.69,75.02
2021-09-30,408.67,$7.07,57.82
2021-06-30,415.15,$8.74,47.51
2021-03-31,327.45,$8.64,37.91
2020-12-31,227.41,$6.66,34.14
2020-09-30,193.64,$2.25,86.2
2020-06-30,121.93,$1.54,79.35
2020-03-31,93.17,$-0.02,0.0
2019-12-31,100.59,$-0.02,0.0
2019-09-30,78.34,$2.79,28.04
2019-06-30,69.41,$1.94,35.87
2019-03-31,51.23,$2.83,18.1
2018-12-31,49.7,$3.21,15.48
2018-09-30,56.41,$3.73,15.1
2018-06-30,51.73,$3.96,13.07
2018-03-31,45.91,$4.08,11.26
2017-12-31,49.52,$3.58,13.84
2017-09-30,45.93,$3.22,14.25
2017-06-30,36.13,$2.94,12.3
2017-03-31,37.28,$2.88,12.95
2016-12-31,40.74,$3.24,12.56
2016-09-30,36.3,$3.15,11.52
2016-06-30,34.96,$2.91,12.03
2016-03-31,37.24,$2.24,16.6
2015-12-31,29.77,$2.28,13.03
2015-09-30,30.09,$2.23,13.51
2015-06-30,39.75,$2.48,16.02
2015-03-31,48.69,$2.94,16.59
2014-12-31,46.76,$3.12,15.0
2014-09-30,40.54,$2.98,13.59
2014-06-30,48.74,$3.40,14.35
2014-03-31,58.97,$3.25,18.14
2013-12-31,56.64,$3.29,17.21
2013-09-30,42.64,$3.43,12.45
2013-06-30,37.01,$3.21,11.52
2013-03-31,31.08,$3.04,10.22
2012-12-31,30.17,$3.08,9.79
2012-09-30,20.13,$2.75,7.32
2012-06-30,16.42,$2.75,5.96
2012-03-31,16.75,$2.69,6.22
2011-12-31,19.12,$2.33,8.22
2011-09-30,12.83,$1.84,6.96
2011-06-30,13.24,$1.48,8.94
2011-03-31,13.84,$1.46,9.48
2010-12-31,11.03,$1.77,6.24
