American Water Works Price to Free Cash Flow Ratio Historical Data,American Water Works Price to Free Cash Flow Ratio Historical Data,American Water Works Price to Free Cash Flow Ratio Historical Data,American Water Works Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,130.54,,0.0
2023-12-31,130.48,$-3.63,0.0
2023-09-30,121.71,$-4.24,0.0
2023-06-30,139.61,$-5.44,0.0
2023-03-31,142.58,$-4.67,0.0
2022-12-31,147.74,$-6.29,0.0
2024-03-31,121.52,$-2.40,0.0
2022-09-30,125.56,$0.55,228.55
2022-06-30,142.91,$1.04,136.9
2022-03-31,158.3,$3.57,44.33
2021-12-31,179.92,$0.82,219.76
2021-09-30,160.47,$-1.35,0.0
2021-06-30,145.82,$-1.58,0.0
2021-03-31,141.29,$-1.81,0.0
2020-12-31,144.15,$-2.16,0.0
2020-09-30,135.62,$-2.17,0.0
2020-06-30,119.98,$-1.90,0.0
2020-03-31,110.98,$-1.69,0.0
2019-12-31,113.61,$-1.23,0.0
2019-09-30,114.4,$-1.15,0.0
2019-06-30,106.37,$-0.95,0.0
2019-03-31,95.17,$-0.93,0.0
2018-12-31,82.46,$-0.92,0.0
2018-09-30,79.51,$-0.81,0.0
2018-06-30,76.77,$-0.58,0.0
2018-03-31,73.45,$-0.65,0.0
2017-12-31,81.39,$0.17,485.65
2017-09-30,71.65,$0.17,429.29
2017-06-30,68.68,$-0.15,0.0
2017-03-31,68.16,$-0.26,0.0
2016-12-31,63.09,$-0.46,0.0
2016-09-30,64.91,$0.43,149.32
2016-06-30,72.95,$-0.18,0.0
2015-12-31,51.05,$0.22,229.73
2015-09-30,46.78,$0.28,169.93
2015-06-30,41.03,$0.27,149.49
2015-03-31,45.45,$0.42,108.81
2014-12-31,44.44,$0.86,51.61
2014-09-30,39.98,$0.37,106.75
2014-06-30,40.72,$0.59,69.13
2014-03-31,37.14,$0.18,202.16
2013-12-31,34.34,$-0.46,0.0
2013-09-30,33.33,$-0.01,0.0
2013-06-30,33.06,$0.28,118.2
2013-03-31,33.01,$0.84,39.52
2012-12-31,29.58,$3.31,8.93
2012-09-30,29.13,$3.07,9.48
2012-06-30,26.75,$2.35,11.39
2012-03-31,26.37,$1.60,16.43
2011-12-31,24.52,$-0.60,0.0
2011-09-30,23.06,$-0.54,0.0
2011-06-30,22.31,$-0.47,0.0
2011-03-31,21.09,$-0.22,0.0
2010-12-31,18.86,$0.05,346.03
2010-09-30,17.2,$-0.06,0.0
2010-06-30,15.07,$-0.24,0.0
2010-03-31,15.77,$-0.59,0.0
2009-12-31,16.08,$-1.12,0.0
2009-09-30,14.17,$-0.82,0.0
