Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,180.26,,35.27
2024-03-31,152.09,$5.11,29.76
2023-12-31,140.77,$5.11,27.55
2023-09-30,131.7,$5.67,23.25
2023-06-30,120.83,$5.15,23.44
2023-03-31,103.88,$4.45,23.33
2022-12-31,88.63,$4.27,20.74
2022-09-30,96.04,$4.42,21.71
2022-06-30,109.25,$4.56,23.96
2022-03-31,139.49,$4.79,29.11
2021-12-31,144.52,$4.63,31.19
2021-09-30,133.11,$4.53,29.41
2021-06-30,125.17,$4.01,31.19
2021-03-31,103.31,$3.47,29.78
2020-12-31,87.49,$2.92,29.95
2020-09-30,73.4,$1.14,64.47
2020-06-30,70.6,$2.11,33.5
2020-03-31,58.07,$0.93,62.77
2019-12-31,66.78,$0.95,70.21
2019-09-30,60.88,$2.09,29.1
2019-06-30,53.98,$0.64,84.63
2018-12-31,51.72,$1.52,33.99
2018-09-30,59.61,$2.23,26.76
2018-06-30,55.72,$2.19,25.42
2018-03-31,51.53,$2.31,22.34
2017-12-31,52.26,$2.32,22.52
2019-03-31,58.6,$1.69,34.61
2017-09-30,47.9,$1.62,29.49
2017-06-30,45.39,$1.70,26.68
2017-03-31,41.43,$1.87,22.19
2016-12-31,38.55,$1.74,22.11
2016-09-30,38.82,$1.62,23.91
2016-06-30,34.57,$1.37,25.16
2016-03-31,37.21,$1.21,30.7
2015-12-31,37.9,$1.12,33.89
2015-09-30,30.39,$1.05,28.98
2015-06-30,26.0,$1.04,25.05
2015-03-31,27.37,$0.92,29.77
2014-12-31,26.29,$0.81,32.34
