Waters Price to Free Cash Flow Ratio Historical Data,Waters Price to Free Cash Flow Ratio Historical Data,Waters Price to Free Cash Flow Ratio Historical Data,Waters Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,290.27,,0.0
2024-03-31,344.23,$-12.97,0.0
2023-12-31,329.23,$-14.18,0.0
2023-09-30,274.21,$6.52,42.04
2023-06-30,266.54,$6.51,40.91
2023-03-31,309.63,$7.17,43.2
2022-12-31,342.58,$7.22,47.43
2022-09-30,269.53,$7.76,34.74
2022-06-30,330.98,$7.85,42.18
2022-03-31,310.39,$9.38,33.08
2021-12-31,372.6,$9.45,39.44
2021-09-30,357.3,$8.90,40.15
2021-06-30,345.61,$9.12,37.91
2021-03-31,284.17,$9.86,28.81
2020-12-31,247.42,$8.61,28.73
2020-09-30,195.68,$8.31,23.56
2020-06-30,180.4,$7.69,23.47
2020-03-31,182.05,$2.09,87.27
2019-12-31,233.65,$2.79,83.78
2019-09-30,223.23,$2.05,108.85
2019-06-30,215.24,$1.41,152.23
2018-12-31,188.65,$6.55,28.8
2018-09-30,194.68,$9.76,19.94
2018-06-30,193.59,$10.65,18.18
2018-03-31,198.65,$11.28,17.61
2017-12-31,193.19,$11.25,17.18
2019-03-31,251.71,$7.66,32.84
2017-09-30,179.52,$7.45,24.11
2017-06-30,183.84,$7.37,24.95
2017-03-31,156.31,$7.05,22.18
2016-12-31,134.39,$6.78,19.82
2016-09-30,158.49,$6.58,24.09
2016-06-30,140.65,$6.41,21.93
2016-03-31,131.92,$5.84,22.6
2015-12-31,134.58,$5.76,23.37
2015-09-30,118.21,$5.75,20.57
2015-06-30,128.38,$5.54,23.19
2015-03-31,124.32,$5.45,22.82
2014-12-31,112.72,$4.96,22.74
2014-09-30,99.12,$4.66,21.25
2014-06-30,104.44,$4.30,24.31
2014-03-31,108.41,$4.22,25.7
2013-12-31,100.0,$4.23,23.62
2013-09-30,106.21,$3.99,26.64
2013-06-30,100.05,$4.00,24.98
2013-03-31,93.91,$3.93,23.92
2012-12-31,87.12,$3.87,22.5
2012-09-30,83.33,$4.01,20.77
2012-06-30,79.47,$4.38,18.16
2012-03-31,92.66,$4.39,21.12
2011-12-31,74.05,$4.46,16.6
2011-09-30,75.49,$4.45,16.96
2011-06-30,95.74,$4.13,23.2
2011-03-31,86.9,$4.36,19.93
2010-12-31,77.71,$4.20,18.5
2010-09-30,70.78,$4.05,17.46
2010-06-30,64.7,$4.21,15.38
2010-03-31,67.54,$3.73,18.11
2009-12-31,61.96,$3.35,18.5
