A O Smith Price to Free Cash Flow Ratio Historical Data,A O Smith Price to Free Cash Flow Ratio Historical Data,A O Smith Price to Free Cash Flow Ratio Historical Data,A O Smith Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,84.43,,22.16
2024-03-31,89.12,$3.81,23.39
2023-12-31,81.8,$3.96,20.67
2023-09-30,65.32,$3.63,18.01
2023-06-30,71.59,$3.47,20.65
2023-03-31,67.72,$2.76,24.56
2022-12-31,55.78,$2.06,27.06
2022-09-30,47.08,$2.50,18.82
2022-06-30,52.75,$2.64,20.0
2022-03-31,61.34,$3.00,20.48
2021-12-31,82.12,$3.51,23.41
2021-09-30,58.19,$3.36,17.3
2021-06-30,68.41,$3.18,21.53
2021-03-31,63.94,$3.39,18.86
2020-12-31,51.61,$3.11,16.61
2020-09-30,49.47,$2.77,17.86
2020-06-30,43.93,$2.67,16.48
2020-03-31,35.06,$2.60,13.49
2019-12-31,43.93,$2.35,18.69
2019-09-30,43.78,$2.16,20.28
2019-06-30,43.07,$1.98,21.8
2019-03-31,48.51,$1.97,24.66
2018-12-31,38.67,$2.11,18.31
2018-09-30,48.1,$2.19,21.96
2018-06-30,53.14,$1.89,28.07
2018-03-31,56.97,$1.64,34.72
2017-12-31,54.75,$1.33,41.17
2017-09-30,52.97,$1.39,38.13
2017-06-30,50.08,$1.62,30.97
2017-03-31,45.36,$1.87,24.28
2016-12-31,41.86,$2.07,20.23
2016-09-30,43.56,$1.69,25.78
2016-06-30,38.75,$2.05,18.87
2016-03-31,33.46,$1.68,19.88
2015-12-31,33.47,$1.56,21.47
2015-09-30,28.41,$1.79,15.84
2015-06-30,31.29,$1.22,25.66
2015-03-31,28.46,$0.89,31.87
2014-12-31,24.37,$1.30,18.77
2014-06-30,21.29,$0.84,25.47
2014-03-31,19.7,$0.83,23.82
2013-12-31,23.01,$0.98,23.48
2013-09-30,19.24,$0.80,23.98
2013-06-30,15.4,$0.74,20.78
2013-03-31,15.56,$0.76,20.4
2014-09-30,20.37,$0.58,34.86
2012-12-31,13.3,$0.40,33.52
2012-09-30,12.1,$0.75,16.06
2012-06-30,10.24,$0.48,21.23
2012-03-31,9.38,$0.33,28.4
2011-12-31,8.34,$0.03,299.0
2011-09-30,6.63,$-0.35,0.0
2011-06-30,8.73,$-0.40,0.0
2011-03-31,9.12,$-1.16,0.0
2010-12-31,7.81,$-0.42,0.0
2010-09-30,7.89,$-0.29,0.0
2010-06-30,6.55,$0.35,18.66
2009-12-31,5.87,$1.20,4.88
2009-09-30,5.14,$0.68,7.53
