EBay Price to Free Cash Flow Ratio Historical Data,EBay Price to Free Cash Flow Ratio Historical Data,EBay Price to Free Cash Flow Ratio Historical Data,EBay Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,54.01,,16.39
2024-03-31,52.52,$3.30,15.94
2023-12-31,43.17,$3.70,11.68
2023-09-30,43.37,$4.62,9.39
2023-06-30,43.72,$4.30,10.17
2023-03-31,43.15,$3.64,11.85
2022-12-31,40.1,$3.23,12.4
2022-09-30,35.42,$2.59,13.69
2022-06-30,39.9,$1.69,23.63
2022-03-31,54.58,$2.86,19.1
2021-12-31,63.13,$3.34,18.91
2021-09-30,65.96,$3.89,16.97
2021-06-30,66.31,$3.61,18.38
2021-03-31,57.67,$3.45,16.7
2020-12-31,47.17,$2.72,17.32
2020-09-30,48.75,$2.67,18.23
2020-06-30,48.94,$3.84,12.74
2020-03-31,27.95,$3.29,8.49
2019-12-31,33.42,$3.04,10.98
2019-09-30,35.93,$3.41,10.52
2019-06-30,36.29,$2.66,13.63
2019-03-31,33.99,$2.13,15.93
2018-12-31,25.59,$2.05,12.46
2018-09-30,30.11,$1.69,17.83
2018-06-30,33.06,$1.97,16.78
2018-03-31,36.69,$2.25,16.29
2017-12-31,34.41,$2.33,14.76
2017-09-30,35.06,$1.98,17.72
2017-06-30,31.84,$1.85,17.21
2017-03-31,30.61,$1.92,15.97
2016-12-31,27.07,$1.92,14.08
2016-09-30,30.0,$2.30,13.07
2016-06-30,21.34,$2.11,10.11
2016-03-31,21.75,$2.35,9.26
2015-12-31,25.05,$2.79,8.96
2015-09-30,22.28,$3.19,6.98
2015-06-30,21.61,$3.94,5.48
2015-03-31,20.69,$4.17,4.96
2014-12-31,20.13,$4.07,4.94
2014-09-30,20.31,$4.42,4.6
2014-06-30,17.96,$4.08,4.4
2014-03-31,19.81,$3.57,5.55
2013-12-31,19.68,$3.30,5.97
2013-09-30,20.01,$2.59,7.73
2013-06-30,18.55,$2.41,7.7
2013-03-31,19.45,$2.22,8.76
2012-12-31,18.29,$1.96,9.34
2012-09-30,17.35,$1.66,10.46
2012-06-30,15.07,$1.46,10.3
2012-03-31,13.24,$1.56,8.46
2011-12-31,10.88,$1.76,6.18
2011-09-30,10.58,$1.73,6.1
2011-06-30,11.57,$1.77,6.56
2011-03-31,11.13,$1.74,6.4
2010-12-31,9.98,$1.52,6.55
2010-09-30,8.75,$1.49,5.87
2010-06-30,7.03,$1.48,4.76
2010-03-31,9.67,$1.55,6.26
2009-12-31,8.44,$1.79,4.7
