Marsh & McLennan Price to Free Cash Flow Ratio Historical Data,Marsh & McLennan Price to Free Cash Flow Ratio Historical Data,Marsh & McLennan Price to Free Cash Flow Ratio Historical Data,Marsh & McLennan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,215.75,,27.81
2024-03-31,205.26,$7.76,26.46
2023-12-31,188.14,$7.70,24.44
2023-09-30,188.27,$7.12,26.43
2023-06-30,185.38,$6.22,29.81
2023-03-31,163.59,$5.74,28.48
2022-12-31,161.99,$5.93,27.31
2022-09-30,145.59,$5.71,25.48
2022-06-30,150.84,$5.57,27.09
2022-03-31,165.06,$5.37,30.73
2021-12-31,167.77,$6.06,27.67
2021-09-30,145.66,$6.09,23.94
2021-06-30,134.82,$6.35,21.22
2021-03-31,116.29,$6.48,17.95
2020-12-31,111.24,$5.93,18.77
2020-09-30,108.61,$5.18,20.97
2020-06-30,101.26,$4.38,23.14
2020-03-31,81.12,$3.00,27.08
2019-12-31,104.12,$3.80,27.42
2019-09-30,93.06,$3.96,23.47
2019-06-30,92.37,$3.76,24.58
2019-03-31,86.56,$4.28,20.22
2018-12-31,73.52,$4.14,17.75
2018-09-30,75.87,$3.46,21.94
2018-06-30,74.82,$3.24,23.12
2018-03-31,75.03,$3.14,23.87
2017-12-31,73.61,$3.08,23.89
2017-09-30,75.46,$3.33,22.65
2017-06-30,70.19,$3.52,19.92
2017-03-31,66.22,$3.67,18.03
2016-12-31,60.27,$3.36,17.97
2016-09-30,59.66,$3.33,17.91
2016-06-30,60.43,$3.26,18.55
2016-03-31,53.39,$2.85,18.77
2015-12-31,48.4,$2.92,16.58
2015-09-30,45.32,$3.01,15.07
2015-06-30,48.94,$2.95,16.57
2015-03-31,48.18,$2.91,16.57
2014-12-31,48.92,$3.17,15.42
2014-09-30,44.49,$2.73,16.28
2014-06-30,43.81,$2.43,18.05
2014-03-31,41.47,$2.05,20.18
2013-12-31,40.45,$1.69,23.89
2013-09-30,36.22,$1.43,25.34
2013-06-30,33.0,$1.34,24.57
2013-03-31,31.19,$1.61,19.39
2012-12-31,28.13,$1.83,15.4
2012-09-30,27.51,$2.06,13.35
2012-06-30,25.94,$2.10,12.34
2012-03-31,26.22,$2.39,10.97
2011-12-31,25.11,$2.59,9.69
2011-09-30,20.91,$2.54,8.23
2011-06-30,24.4,$0.93,26.25
2011-03-31,23.15,$0.66,35.34
2010-12-31,21.08,$0.84,25.09
2010-09-30,18.43,$0.01,1631.05
2010-06-30,17.08,$1.62,10.54
2010-03-31,18.35,$1.04,17.59
2009-12-31,16.44,$0.65,25.18
