Incyte Price to Free Cash Flow Ratio Historical Data,Incyte Price to Free Cash Flow Ratio Historical Data,Incyte Price to Free Cash Flow Ratio Historical Data,Incyte Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,63.75,,18.24
2024-03-31,56.97,$3.50,16.3
2023-12-31,62.79,$2.05,30.57
2023-09-30,57.77,$2.58,22.37
2023-06-30,62.25,$3.17,19.61
2023-03-31,72.27,$2.57,28.11
2022-12-31,80.32,$3.98,20.16
2022-09-30,66.64,$3.18,20.99
2022-06-30,75.97,$2.98,25.46
2022-03-31,79.42,$2.74,28.99
2021-12-31,73.4,$2.56,28.67
2021-09-30,68.78,$2.44,28.13
2021-06-30,84.13,$2.02,41.74
2021-03-31,81.27,$2.62,31.06
2020-12-31,86.98,$-1.43,0.0
2020-09-30,89.74,$-1.21,0.0
2020-06-30,103.97,$-0.47,0.0
2020-03-31,73.23,$-1.06,0.0
2019-12-31,87.32,$2.91,30.04
2019-09-30,74.23,$2.71,27.41
2019-06-30,84.96,$2.20,38.67
2019-03-31,86.01,$1.81,47.45
2018-12-31,63.59,$1.22,52.19
2018-09-30,69.08,$0.37,187.11
2018-06-30,67.0,$-0.33,0.0
2018-03-31,83.33,$0.04,2170.05
2017-12-31,94.71,$-1.00,0.0
2017-09-30,116.74,$-0.02,0.0
2017-06-30,125.91,$0.28,448.56
2017-03-31,133.67,$-0.52,0.0
2016-12-31,100.27,$0.95,105.51
2016-09-30,94.29,$0.90,104.98
2016-06-30,79.98,$0.46,172.48
2016-03-31,72.47,$0.86,83.95
2015-12-31,108.45,$0.34,320.38
2015-09-30,110.38,$0.19,579.73
2015-06-30,104.21,$0.35,297.83
2015-03-31,91.66,$0.15,607.42
2014-12-31,73.11,$-0.01,0.0
2014-09-30,49.05,$-0.30,0.0
2014-06-30,56.44,$-0.53,0.0
2014-03-31,53.52,$-0.35,0.0
2013-12-31,50.63,$0.03,1529.61
2013-09-30,38.15,$-0.06,0.0
2013-06-30,22.0,$-0.19,0.0
2013-03-31,23.41,$-0.14,0.0
2012-12-31,16.61,$-0.75,0.0
2012-09-30,18.05,$-0.90,0.0
2012-06-30,22.7,$-1.05,0.0
2012-03-31,19.3,$-1.39,0.0
2011-12-31,15.01,$-1.32,0.0
2011-09-30,13.97,$-0.78,0.0
2011-06-30,18.94,$-0.61,0.0
2011-03-31,15.85,$-0.45,0.0
2010-12-31,16.56,$0.77,21.47
2010-09-30,15.99,$1.77,9.04
2010-06-30,11.07,$1.63,6.78
2010-03-31,13.93,$1.41,9.86
2009-12-31,9.11,$0.12,78.33
