Estee Lauder Price to Free Cash Flow Ratio Historical Data,Estee Lauder Price to Free Cash Flow Ratio Historical Data,Estee Lauder Price to Free Cash Flow Ratio Historical Data,Estee Lauder Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,113.85,,36.28
2024-03-31,154.15,$3.14,49.12
2023-12-31,145.6,$2.23,65.15
2023-09-30,143.15,$2.29,62.62
2023-06-30,193.7,$2.02,96.02
2023-03-31,242.26,$2.89,83.95
2022-12-31,243.22,$2.61,93.1
2022-09-30,211.0,$4.04,52.24
2022-06-30,248.31,$5.48,45.3
2022-03-31,264.89,$5.26,50.38
2021-12-31,359.38,$7.23,49.74
2021-09-30,290.65,$6.70,43.41
2021-06-30,307.76,$8.13,37.85
2021-03-31,280.93,$6.90,40.74
2020-12-31,256.64,$6.58,38.99
2020-09-30,209.97,$5.98,35.14
2020-06-30,181.13,$4.52,40.11
2020-03-31,152.96,$5.32,28.74
2019-12-31,197.75,$4.77,41.47
2019-09-30,190.02,$-1.15,0.0
2019-06-30,174.52,$0.66,263.99
2019-03-31,157.38,$0.44,354.69
2018-12-31,123.34,$2.74,44.97
2018-06-30,134.91,$5.15,26.22
2018-03-31,141.2,$7.81,18.08
2017-12-31,119.67,$6.61,18.11
2017-09-30,101.12,$4.25,23.79
2017-06-30,89.71,$6.62,13.54
2018-09-30,137.77,$2.35,58.66
2017-03-31,78.96,$3.29,24.01
2016-12-31,70.95,$5.26,13.49
2016-09-30,81.79,$2.76,29.64
2016-06-30,83.78,$4.29,19.51
2016-03-31,86.53,$4.34,19.95
2015-09-30,73.52,$3.47,21.2
2015-06-30,78.74,$3.81,20.66
2015-03-31,75.35,$3.37,22.34
2014-12-31,68.84,$3.27,21.08
2014-09-30,67.29,$2.88,23.4
2014-06-30,66.7,$2.61,25.58
2014-03-31,59.91,$2.08,28.79
2013-12-31,67.28,$1.77,37.96
2013-09-30,62.27,$0.66,94.72
2013-06-30,58.43,$2.50,23.41
2015-12-31,80.53,$1.97,40.97
2013-03-31,56.74,$1.87,30.41
2012-12-31,52.89,$1.83,28.86
2012-09-30,53.73,$1.51,35.51
2012-06-30,47.23,$1.78,26.56
2012-03-31,54.05,$1.94,27.84
2011-12-31,49.01,$1.86,26.34
2011-09-30,37.96,$1.63,23.31
2011-06-30,45.46,$1.68,27.06
2011-03-31,41.64,$1.38,30.23
2010-12-31,34.87,$1.33,26.15
2010-09-30,27.06,$1.58,17.18
2010-06-30,23.85,$1.71,13.96
2010-03-31,27.76,$2.40,11.56
2009-12-31,20.69,$2.33,8.87
