TE Connectivity Price to Free Cash Flow Ratio Historical Data,TE Connectivity Price to Free Cash Flow Ratio Historical Data,TE Connectivity Price to Free Cash Flow Ratio Historical Data,TE Connectivity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,152.0,,17.85
2024-03-31,144.61,$8.52,16.98
2023-12-31,139.32,$8.15,17.09
2023-09-30,121.94,$7.58,16.08
2023-06-30,137.73,$6.87,20.05
2023-03-31,128.26,$6.20,20.67
2022-12-31,111.79,$5.55,20.13
2022-09-30,106.99,$5.56,19.25
2022-06-30,109.25,$4.91,22.26
2022-03-31,125.89,$5.26,23.95
2021-12-31,154.53,$5.98,25.85
2021-09-30,131.03,$6.22,21.06
2021-06-30,128.67,$6.43,20.02
2021-03-31,122.41,$5.59,21.91
2020-12-31,114.36,$5.17,22.14
2020-09-30,91.93,$4.36,21.06
2020-06-30,76.3,$4.67,16.34
2020-03-31,58.56,$5.43,10.78
2019-12-31,88.67,$5.49,16.15
2019-09-30,85.78,$5.05,17.0
2019-06-30,87.73,$4.80,18.28
2019-03-31,73.57,$4.89,15.03
2018-12-31,68.54,$4.29,15.97
2018-09-30,79.22,$4.36,18.17
2018-06-30,80.75,$4.30,18.76
2018-03-31,89.16,$3.68,24.23
2017-12-31,84.49,$4.20,20.13
2017-09-30,73.84,$4.64,15.91
2017-06-30,69.94,$4.14,16.91
2017-03-31,66.27,$4.71,14.08
2016-12-31,61.29,$3.78,16.21
2016-09-30,56.64,$3.66,15.46
2016-06-30,49.95,$3.50,14.27
2016-03-31,54.16,$3.04,17.82
2015-12-31,56.51,$3.52,16.04
2015-09-30,52.38,$3.28,15.98
2015-06-30,56.24,$3.71,15.17
2015-03-31,62.64,$3.39,18.46
2014-12-31,55.1,$3.55,15.52
2014-09-30,47.95,$3.78,12.68
2014-06-30,53.38,$3.22,16.58
2014-03-31,51.71,$3.53,14.65
2013-12-31,47.33,$3.54,13.36
2013-09-30,44.26,$3.54,12.5
2013-06-30,38.73,$3.86,10.03
2013-03-31,35.46,$3.65,9.72
2012-12-31,31.23,$3.78,8.26
2012-09-30,28.44,$3.34,8.51
2012-06-30,26.53,$2.97,8.92
2012-03-31,30.35,$2.84,10.67
2011-12-31,25.32,$2.96,8.56
2011-09-30,22.99,$2.87,8.02
2011-06-30,29.86,$2.66,11.21
2011-03-31,28.15,$2.51,11.21
2010-12-31,28.49,$2.42,11.76
2010-09-30,23.4,$2.88,8.13
2010-06-30,20.2,$3.17,6.37
2010-03-31,21.75,$3.12,6.96
2009-12-31,19.31,$2.76,6.99
