Williams Price to Free Cash Flow Ratio Historical Data,Williams Price to Free Cash Flow Ratio Historical Data,Williams Price to Free Cash Flow Ratio Historical Data,Williams Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,42.06,,16.55
2024-03-31,38.97,$2.54,15.34
2023-12-31,34.38,$2.76,12.47
2023-09-30,32.83,$2.17,15.13
2023-06-30,31.38,$2.26,13.89
2023-03-31,28.3,$2.27,12.45
2022-12-31,30.71,$2.13,14.41
2022-09-30,26.38,$2.50,10.57
2022-06-30,28.38,$2.44,11.63
2022-03-31,30.02,$2.32,12.94
2021-12-31,23.1,$2.21,10.43
2021-09-30,22.66,$2.19,10.36
2021-06-30,22.81,$1.81,12.6
2021-03-31,20.05,$1.97,10.17
2020-12-31,16.69,$1.83,9.13
2020-09-30,16.06,$1.64,9.79
2020-06-30,15.24,$1.59,9.57
2020-03-31,11.1,$1.38,8.05
2019-12-31,18.06,$1.27,14.2
2019-09-30,18.01,$1.15,15.7
2019-06-30,20.67,$1.14,18.07
2019-03-31,20.88,$0.64,32.81
2018-12-31,15.81,$0.03,513.32
2018-09-30,19.22,$-0.15,0.0
2018-06-30,18.94,$-0.13,0.0
2018-03-31,17.15,$0.21,83.08
2017-12-31,20.77,$0.78,26.52
2017-09-30,20.23,$2.72,7.44
2017-06-30,20.21,$2.82,7.17
2017-03-31,19.54,$2.71,7.21
2016-12-31,20.35,$2.84,7.16
2016-09-30,19.96,$0.57,35.03
2016-06-30,13.96,$0.18,75.52
2016-03-31,10.08,$-0.00,0.0
2015-12-31,15.49,$-0.61,0.0
2015-09-30,21.73,$-0.65,0.0
2015-06-30,33.37,$-1.32,0.0
2015-03-31,29.05,$-2.32,0.0
2014-12-31,25.49,$-2.60,0.0
2014-09-30,31.0,$-3.14,0.0
2014-06-30,32.28,$-2.93,0.0
2014-03-31,22.3,$-2.15,0.0
2013-12-31,20.99,$-1.97,0.0
2013-09-30,19.57,$-1.76,0.0
2013-06-30,17.3,$-1.54,0.0
2013-03-31,19.76,$-1.60,0.0
2012-12-31,17.1,$-1.11,0.0
2012-09-30,18.08,$-0.37,0.0
2012-06-30,14.76,$-0.01,0.0
2012-03-31,15.62,$0.77,20.23
2011-12-31,13.58,$1.07,12.63
2011-09-30,9.93,$1.01,9.87
2011-06-30,12.25,$0.23,52.9
2011-03-31,12.54,$0.00,0.0
2010-12-31,9.9,$-0.15,0.0
2010-09-30,7.61,$0.14,53.45
2010-06-30,7.23,$0.82,8.83
2010-03-31,9.08,$0.81,11.23
2009-12-31,8.25,$0.31,26.36
