Xylem Price to Free Cash Flow Ratio Historical Data,Xylem Price to Free Cash Flow Ratio Historical Data,Xylem Price to Free Cash Flow Ratio Historical Data,Xylem Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,138.67,,45.62
2024-03-31,129.24,$3.04,42.52
2023-12-31,114.03,$2.60,43.88
2023-09-30,90.47,$2.53,35.78
2023-06-30,111.57,$2.04,54.61
2023-03-31,103.38,$2.50,41.3
2022-12-31,108.83,$2.17,50.25
2022-09-30,85.75,$1.27,67.55
2022-06-30,76.49,$0.81,94.72
2022-03-31,83.11,$1.47,56.36
2021-12-31,116.51,$1.83,63.5
2021-09-30,119.9,$2.83,42.3
2021-06-30,116.05,$3.77,30.79
2021-03-31,101.51,$3.48,29.18
2020-12-31,97.96,$3.54,27.68
2020-09-30,80.71,$3.62,22.28
2020-06-30,62.13,$3.42,18.15
2020-03-31,62.06,$1.16,53.33
2019-12-31,74.84,$2.18,34.25
2019-09-30,75.41,$1.03,73.5
2019-06-30,78.97,$0.41,190.79
2018-12-31,62.58,$1.93,32.47
2018-09-30,74.68,$3.98,18.77
2018-06-30,62.83,$3.36,18.73
2018-03-31,71.51,$3.96,18.07
2017-12-31,63.23,$4.31,14.68
2019-03-31,74.38,$1.58,47.22
2017-09-30,57.9,$2.56,22.66
2017-06-30,51.1,$2.14,23.91
2017-03-31,46.14,$2.11,21.91
2016-12-31,45.32,$2.08,21.81
2016-09-30,47.85,$1.92,24.89
2016-06-30,40.61,$1.90,21.4
2016-03-31,37.07,$1.92,19.3
2015-12-31,32.94,$1.91,17.25
2015-09-30,29.54,$1.66,17.79
2015-06-30,33.19,$1.71,19.42
2015-03-31,31.23,$1.64,18.99
2014-12-31,33.82,$1.62,20.83
2014-09-30,31.41,$1.64,19.13
2014-06-30,34.47,$1.35,25.61
2014-03-31,32.02,$1.12,28.5
2013-12-31,30.31,$1.10,27.64
2013-09-30,24.37,$1.16,21.09
2013-06-30,23.4,$1.20,19.54
2013-03-31,23.84,$1.34,17.76
2012-12-31,23.35,$1.55,15.04
2012-09-30,21.58,$2.62,8.23
