Kinder Morgan Price to Free Cash Flow Ratio Historical Data,Kinder Morgan Price to Free Cash Flow Ratio Historical Data,Kinder Morgan Price to Free Cash Flow Ratio Historical Data,Kinder Morgan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,20.11,,21.85
2024-03-31,18.06,$0.92,19.62
2023-12-31,17.09,$1.03,16.57
2023-09-30,15.79,$1.52,10.4
2023-06-30,16.14,$1.26,12.8
2023-03-31,16.14,$1.34,12.07
2022-12-31,16.42,$1.27,12.94
2022-09-30,14.88,$1.41,10.53
2022-06-30,14.76,$1.05,14.0
2022-03-31,16.4,$1.04,15.78
2021-12-31,13.54,$1.45,9.34
2021-09-30,14.06,$1.77,7.94
2021-06-30,15.08,$2.38,6.33
2021-03-31,13.56,$2.23,6.08
2020-12-31,10.93,$1.72,6.35
2020-09-30,9.65,$1.29,7.49
2020-06-30,11.65,$1.22,9.59
2020-03-31,10.5,$1.27,8.29
2019-12-31,15.79,$1.10,14.41
2019-09-30,15.18,$1.13,13.45
2019-06-30,15.19,$0.98,15.56
2019-03-31,14.38,$0.91,15.79
2018-12-31,10.93,$0.99,10.99
2018-09-30,12.45,$0.67,18.52
2018-06-30,12.27,$0.74,16.52
2018-03-31,10.33,$0.67,15.47
2017-12-31,12.31,$0.68,17.98
2017-09-30,12.98,$0.79,16.52
2017-06-30,12.88,$0.90,14.31
2017-03-31,14.53,$1.01,14.35
2016-12-31,13.77,$0.84,16.39
2016-09-30,15.28,$0.92,16.54
2016-06-30,12.29,$0.65,19.03
2016-03-31,11.64,$0.37,31.29
2015-12-31,9.65,$-0.28,0.0
2015-09-30,17.57,$-1.75,0.0
2015-06-30,24.03,$-1.50,0.0
2015-03-31,26.04,$-1.40,0.0
2014-12-31,25.91,$-0.47,0.0
2014-09-30,23.21,$1.28,18.12
2014-06-30,21.7,$1.24,17.53
2014-03-31,19.2,$1.00,19.24
2013-12-31,21.02,$0.92,22.9
2013-09-30,20.53,$0.59,34.85
2013-06-30,21.79,$0.61,35.76
2013-03-31,21.88,$0.65,33.78
2012-12-31,19.79,$0.63,31.27
2012-09-30,19.69,$0.47,41.78
2012-06-30,17.69,$-0.09,0.0
2012-03-31,21.03,$0.04,590.81
2011-12-31,17.34,$0.01,0.0
