Microsoft Price to Free Cash Flow Ratio Historical Data,Microsoft Price to Free Cash Flow Ratio Historical Data,Microsoft Price to Free Cash Flow Ratio Historical Data,Microsoft Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,449.78,,47.65
2024-03-31,419.98,$9.44,44.49
2023-12-31,374.69,$9.03,41.5
2023-09-30,313.98,$8.47,37.07
2023-06-30,337.91,$7.96,42.45
2023-03-31,285.46,$7.66,37.26
2022-12-31,236.86,$7.94,29.83
2022-09-30,229.38,$8.43,27.23
2022-06-30,252.41,$8.64,29.21
2022-03-31,302.26,$8.42,35.9
2021-12-31,329.04,$8.01,41.1
2021-09-30,275.32,$3.96,69.46
2021-06-30,264.05,$3.30,80.08
2021-03-31,229.28,$2.96,77.39
2020-12-31,215.8,$1.64,131.86
2020-06-30,196.45,$5.89,33.37
2020-03-31,151.82,$7.12,21.31
2019-12-31,151.4,$7.22,20.97
2019-09-30,133.02,$7.71,17.26
2019-06-30,128.17,$7.02,18.25
2020-09-30,203.53,$5.27,38.6
2019-03-31,112.43,$4.34,25.92
2018-12-31,96.42,$4.08,23.64
2018-09-30,108.09,$4.11,26.29
2018-06-30,92.83,$4.14,22.43
2018-03-31,85.55,$4.29,19.94
2017-12-31,79.81,$4.28,18.64
2017-09-30,69.15,$4.14,16.72
2017-06-30,63.65,$4.01,15.89
2017-03-31,60.48,$3.62,16.72
2016-12-31,56.72,$3.49,16.27
2016-09-30,52.23,$3.38,15.46
2016-06-30,46.11,$3.12,14.79
2016-03-31,49.42,$3.01,16.42
2015-12-31,49.29,$3.06,16.12
2015-09-30,39.01,$2.96,13.19
2015-06-30,38.71,$2.87,13.47
2015-03-31,35.41,$3.26,10.85
2014-12-31,40.17,$3.26,12.31
2014-09-30,39.84,$3.24,12.31
2014-06-30,35.62,$3.22,11.07
2014-03-31,34.77,$2.69,12.92
2013-12-31,31.5,$2.66,11.83
2013-09-30,27.81,$2.80,9.93
2013-06-30,28.66,$2.90,9.88
2013-03-31,23.57,$3.26,7.24
2012-12-31,21.83,$3.25,6.72
2012-09-30,24.12,$3.43,7.04
2012-06-30,24.63,$3.45,7.14
2012-03-31,25.8,$3.21,8.02
2011-12-31,20.63,$3.13,6.59
2011-09-30,19.63,$2.94,6.68
2011-06-30,20.38,$2.87,7.11
2011-03-31,19.77,$2.80,7.05
2010-12-31,21.6,$2.65,8.15
2010-09-30,18.84,$2.72,6.92
2010-06-30,17.61,$2.48,7.11
2010-03-31,22.31,$2.26,9.88
2009-12-31,23.11,$2.92,7.93
