Baxter Price to Free Cash Flow Ratio Historical Data,Baxter Price to Free Cash Flow Ratio Historical Data,Baxter Price to Free Cash Flow Ratio Historical Data,Baxter Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,34.19,,24.49
2024-03-31,42.74,$1.40,30.61
2023-12-31,38.39,$2.04,18.79
2023-09-30,37.18,$1.87,19.87
2023-06-30,44.56,$1.76,25.3
2023-03-31,39.39,$1.66,23.72
2022-12-31,49.15,$1.17,41.92
2022-09-30,51.65,$1.66,31.14
2022-06-30,61.28,$2.39,25.69
2022-03-31,73.7,$2.74,26.85
2021-12-31,81.32,$3.01,26.98
2021-09-30,75.91,$2.94,25.83
2021-06-30,75.72,$2.63,28.74
2021-03-31,79.06,$2.45,32.25
2020-12-31,74.98,$2.24,33.45
2020-09-30,74.91,$2.55,29.35
2020-06-30,79.97,$2.90,27.61
2020-03-31,75.2,$3.03,24.81
2019-12-31,77.25,$2.71,28.48
2019-09-30,80.59,$2.40,33.55
2019-06-30,75.27,$1.95,38.54
2019-03-31,74.52,$1.83,40.66
2018-12-31,60.17,$2.49,24.19
2018-09-30,70.28,$1.91,36.89
2018-06-30,67.14,$2.18,30.85
2018-03-31,58.98,$2.39,24.69
2017-12-31,58.48,$1.98,29.56
2017-09-30,56.63,$2.57,22.03
2017-06-30,54.49,$2.38,22.85
2017-03-31,46.55,$2.75,16.91
2016-12-31,39.7,$1.70,23.4
2016-09-30,42.5,$1.62,26.22
2016-06-30,40.26,$1.00,40.41
2016-03-31,36.46,$-3.56,0.0
2015-12-31,33.77,$-1.08,0.0
2015-09-30,28.99,$0.14,213.76
2015-06-30,33.26,$0.42,79.47
2014-12-31,34.33,$4.19,8.2
2014-09-30,33.38,$7.41,4.5
2014-06-30,33.39,$5.12,6.52
2014-03-31,33.74,$5.83,5.78
2013-12-31,31.67,$6.34,4.99
2015-03-31,32.33,$1.75,18.49
2013-09-30,29.69,$2.93,10.14
2013-06-30,31.09,$2.78,11.18
2013-03-31,32.37,$3.30,9.81
2012-12-31,29.52,$3.50,8.44
2012-09-30,26.5,$3.53,7.51
2012-06-30,23.19,$3.85,6.02
2012-03-31,25.91,$3.31,7.83
2011-12-31,21.32,$3.24,6.58
2011-09-30,24.03,$3.35,7.18
2011-06-30,25.41,$3.47,7.32
2011-03-31,22.77,$3.65,6.24
2010-12-31,21.31,$3.43,6.21
2010-09-30,19.96,$3.31,6.03
2010-06-30,16.89,$3.00,5.62
2010-03-31,24.02,$3.06,7.85
2009-12-31,24.1,$3.09,7.81
