Pfizer Price to Free Cash Flow Ratio Historical Data,Pfizer Price to Free Cash Flow Ratio Historical Data,Pfizer Price to Free Cash Flow Ratio Historical Data,Pfizer Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,27.74,,31.0
2024-03-31,27.34,$0.89,30.56
2023-12-31,27.94,$0.84,33.28
2023-09-30,31.75,$1.42,22.37
2023-06-30,34.72,$1.85,18.76
2023-03-31,38.2,$3.53,10.83
2022-12-31,47.54,$4.54,10.47
2022-09-30,40.25,$4.10,9.82
2022-06-30,47.85,$4.97,9.63
2022-03-31,46.87,$5.55,8.44
2021-12-31,53.07,$5.23,10.14
2021-09-30,38.31,$5.21,7.35
2021-06-30,34.57,$3.73,9.27
2021-03-31,31.67,$2.39,13.26
2020-12-31,31.83,$2.16,14.72
2020-09-30,29.78,$1.87,15.92
2020-06-30,26.28,$2.29,11.46
2020-03-31,25.96,$2.12,12.24
2019-12-31,30.85,$1.86,16.61
2019-09-30,28.01,$1.99,14.11
2019-06-30,33.46,$2.07,16.19
2019-03-31,32.52,$2.27,14.34
2018-12-31,33.14,$2.32,14.31
2018-09-30,33.2,$2.68,12.4
2018-06-30,27.1,$2.63,10.31
2018-03-31,26.25,$2.51,10.45
2017-12-31,26.55,$2.45,10.83
2017-09-30,25.93,$2.97,8.74
2017-06-30,24.16,$2.76,8.77
2017-03-31,24.37,$2.53,9.62
2016-12-31,22.91,$3.01,7.6
2016-06-30,24.38,$2.21,11.05
2016-03-31,20.34,$2.30,8.86
2015-12-31,21.93,$2.12,10.32
2015-09-30,21.17,$2.25,9.39
2015-06-30,22.42,$2.16,10.4
2015-03-31,23.07,$2.13,10.81
2014-12-31,20.48,$2.47,8.28
2014-09-30,19.27,$2.37,8.12
2014-06-30,19.17,$2.61,7.34
2014-03-31,20.57,$2.51,8.2
2013-12-31,19.45,$2.39,8.14
2013-09-30,18.1,$2.27,7.97
2013-06-30,17.5,$2.00,8.73
2013-03-31,17.88,$2.01,8.89
2012-12-31,15.41,$2.05,7.5
2012-09-30,15.13,$2.04,7.42
2012-06-30,13.87,$1.94,7.16
2012-03-31,13.53,$2.15,6.3
2011-12-31,12.8,$2.36,5.42
2011-09-30,10.35,$2.49,4.16
2011-06-30,11.93,$2.75,4.34
2011-03-31,11.65,$0.31,37.38
2010-12-31,9.94,$2.05,4.84
2010-09-30,9.64,$0.53,18.37
2010-06-30,7.92,$0.29,27.17
2016-09-30,23.65,$2.59,9.12
2010-03-31,9.43,$0.93,10.12
2009-12-31,9.91,$2.18,4.54
