Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data,Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data,Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data,Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,151.12,,72.12
2023-12-31,129.49,$2.10,61.8
2023-09-30,92.14,$7.76,11.88
2023-06-30,103.74,$4.55,22.82
2023-03-31,65.3,$-4.59,0.0
2022-12-31,49.43,$-11.97,0.0
2022-06-30,34.91,$-15.54,0.0
2022-03-31,83.78,$-16.05,0.0
2021-12-31,76.9,$-15.60,0.0
2021-09-30,88.95,$-17.91,0.0
2021-06-30,85.28,$-19.39,0.0
2021-03-31,85.61,$-28.41,0.0
2020-12-31,74.69,$-26.45,0.0
2020-09-30,64.73,$-21.26,0.0
2020-06-30,50.3,$-14.68,0.0
2020-03-31,32.17,$-4.62,0.0
2019-12-31,131.95,$3.29,40.05
2019-09-30,106.41,$1.65,64.35
2019-06-30,118.24,$11.04,10.71
2019-03-31,111.16,$3.37,33.01
2018-12-31,94.28,$2.87,32.83
2018-09-30,124.42,$1.13,109.81
2022-09-30,37.9,$-9.20,0.0
2018-06-30,98.68,$2.97,33.26
2018-03-31,111.51,$7.95,14.03
2017-12-31,112.43,$13.23,8.5
2017-09-30,111.19,$14.24,7.81
2017-06-30,101.93,$6.44,15.83
2016-12-31,75.84,$0.10,734.93
2016-09-30,68.89,$-4.13,0.0
2016-06-30,61.32,$-2.08,0.0
2016-03-31,74.65,$4.18,17.87
2015-12-31,91.48,$2.08,44.07
2017-03-31,91.16,$5.31,17.18
2015-09-30,80.21,$-3.20,0.0
2015-06-30,70.57,$-3.69,0.0
2015-03-31,73.11,$1.23,59.22
2014-12-31,73.34,$2.47,29.64
2014-09-30,59.64,$7.42,8.04
2024-03-31,139.01,$6.06,22.94
2014-06-30,49.06,$4.09,11.99
2014-03-31,47.92,$3.10,15.47
2013-12-31,41.45,$-0.50,0.0
2013-09-30,33.27,$1.95,17.04
2013-06-30,28.79,$1.08,26.63
2012-12-31,29.17,$0.46,63.98
2012-09-30,25.83,$6.01,4.3
2012-06-30,22.17,$4.06,5.46
2012-03-31,24.96,$1.80,13.89
2011-12-31,20.93,$2.98,7.03
2013-03-31,28.59,$2.97,9.63
2011-09-30,18.21,$-2.07,0.0
2011-06-30,31.54,$0.76,41.36
2011-03-31,34.58,$-0.98,0.0
2010-12-31,39.39,$-2.41,0.0
2010-09-30,26.42,$-1.62,0.0
2010-06-30,19.08,$-5.57,0.0
2010-03-31,27.65,$-4.60,0.0
2009-12-31,21.18,$-6.23,0.0
