United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data,United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data,United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data,United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,41.16,,37.64
2024-03-31,36.99,$1.09,33.83
2023-12-31,37.45,$1.05,35.56
2023-09-30,34.49,$1.04,33.16
2023-06-30,41.13,$1.13,36.45
2023-03-31,38.91,$0.15,252.97
2022-12-31,36.34,$0.14,261.27
2022-09-30,38.75,$-1.04,0.0
2022-06-30,42.42,$-3.15,0.0
2022-03-31,52.51,$-3.00,0.0
2021-12-31,54.57,$-3.07,0.0
2021-09-30,47.87,$-2.86,0.0
2021-06-30,43.95,$-0.85,0.0
2021-03-31,39.03,$0.00,0.0
2020-12-31,33.88,$-0.34,0.0
2020-09-30,28.46,$0.30,93.52
2020-06-30,32.3,$-1.30,0.0
2020-03-31,31.28,$-2.44,0.0
2019-12-31,39.68,$-3.32,0.0
2019-09-30,40.9,$-2.93,0.0
2019-06-30,37.6,$-1.17,0.0
2019-03-31,37.79,$-0.22,0.0
2018-12-31,32.67,$1.09,30.02
2018-09-30,33.07,$0.74,44.42
2018-06-30,30.44,$0.58,52.52
2018-03-31,28.63,$0.49,58.27
2017-12-31,30.7,$0.18,173.83
2017-09-30,30.06,$-0.08,0.0
2017-06-30,30.56,$-0.00,0.0
2017-03-31,28.19,$0.06,465.19
2016-12-31,28.13,$0.37,75.89
2016-09-30,27.52,$0.06,427.25
2016-06-30,28.0,$-0.07,0.0
2016-03-31,28.99,$0.05,635.85
2015-12-31,28.06,$-0.03,0.0
2015-09-30,25.55,$0.42,60.72
2015-06-30,23.54,$-0.07,0.0
2015-03-31,24.8,$-0.28,0.0
2014-12-31,22.28,$-0.73,0.0
2014-09-30,19.51,$-0.71,0.0
2014-06-30,20.32,$-0.33,0.0
2014-03-31,18.14,$-0.55,0.0
2013-12-31,16.24,$-0.41,0.0
2013-09-30,16.31,$-0.91,0.0
2013-06-30,17.38,$-0.95,0.0
2013-03-31,16.34,$-0.88,0.0
2012-12-31,15.91,$-0.76,0.0
2012-09-30,16.31,$-0.61,0.0
2012-06-30,16.84,$-4.41,0.0
2012-03-31,17.26,$-4.79,0.0
2011-12-31,16.08,$-4.68,0.0
2011-09-30,14.06,$-4.15,0.0
2011-06-30,15.47,$-2.25,0.0
2011-03-31,15.23,$-1.78,0.0
2010-12-31,14.58,$-1.83,0.0
2010-09-30,12.98,$-2.09,0.0
2010-06-30,11.65,$-0.38,0.0
2010-03-31,10.64,$-0.53,0.0
2009-12-31,9.8,$-0.50,0.0
