CBRE Price to Free Cash Flow Ratio Historical Data,CBRE Price to Free Cash Flow Ratio Historical Data,CBRE Price to Free Cash Flow Ratio Historical Data,CBRE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,89.26,,159.68
2024-03-31,97.24,$0.56,173.95
2023-12-31,93.09,$0.01,7272.66
2023-09-30,73.86,$-0.04,0.0
2023-06-30,80.71,$1.45,55.57
2023-03-31,72.81,$2.92,24.96
2022-12-31,76.96,$4.18,18.42
2022-09-30,67.51,$5.18,13.02
2022-06-30,73.61,$5.79,12.72
2022-03-31,91.52,$5.71,16.04
2021-12-31,108.51,$6.34,17.11
2021-09-30,97.36,$5.72,17.02
2021-06-30,85.73,$5.39,15.89
2021-03-31,79.11,$4.53,17.47
2020-12-31,62.72,$4.62,13.57
2020-09-30,46.97,$4.87,9.65
2020-06-30,45.22,$3.63,12.45
2020-03-31,37.71,$3.49,10.8
2019-12-31,61.29,$2.73,22.44
2019-09-30,53.01,$1.55,34.17
2019-06-30,51.3,$1.99,25.81
2019-03-31,49.45,$2.18,22.71
2018-12-31,40.04,$2.63,15.21
2018-09-30,44.1,$2.29,19.27
2018-06-30,47.74,$2.04,23.39
2018-03-31,47.22,$2.25,20.97
2017-12-31,43.31,$2.10,20.6
2017-09-30,37.88,$2.64,14.32
2017-06-30,36.4,$1.59,22.85
2017-03-31,34.79,$1.32,26.46
2016-12-31,31.49,$1.26,25.03
2016-09-30,27.98,$0.80,35.0
2016-06-30,26.48,$0.94,28.06
2016-03-31,28.82,$1.04,27.67
2015-12-31,34.58,$1.52,22.7
2015-09-30,32.0,$1.71,18.72
2015-06-30,37.0,$2.02,18.28
2015-03-31,38.71,$1.73,22.41
2014-12-31,34.25,$1.47,23.33
2014-09-30,29.74,$1.23,24.12
2014-06-30,32.04,$0.81,39.69
2014-03-31,27.43,$1.19,23.01
2013-12-31,26.3,$1.77,14.82
2013-09-30,23.13,$1.51,15.29
2013-06-30,23.36,$1.30,17.92
2013-03-31,25.25,$1.11,22.85
2012-12-31,19.9,$0.43,46.2
2012-09-30,18.41,$0.02,963.87
2012-06-30,16.36,$0.55,29.77
2012-03-31,19.96,$0.11,179.98
2011-12-31,15.22,$0.66,23.11
2011-09-30,13.46,$0.78,17.17
2011-06-30,25.11,$0.80,31.57
2011-03-31,26.7,$1.31,20.38
2010-12-31,20.48,$1.72,11.92
2010-09-30,18.28,$1.48,12.34
2010-06-30,13.61,$1.29,10.55
2010-03-31,15.85,$0.73,21.73
2009-12-31,13.57,$0.66,20.49
