Target Price to Free Cash Flow Ratio Historical Data,Target Price to Free Cash Flow Ratio Historical Data,Target Price to Free Cash Flow Ratio Historical Data,Target Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,146.13,,14.69
2024-04-30,159.87,$9.95,16.07
2024-01-31,137.12,$8.30,16.53
2023-10-31,108.15,$7.95,13.61
2023-07-31,132.06,$3.55,37.15
2023-04-30,151.61,$1.05,144.62
2023-01-31,164.4,$-3.23,0.0
2022-10-31,155.93,$-4.19,0.0
2022-07-31,154.18,$0.61,251.35
2022-04-30,214.87,$4.14,51.86
2022-01-31,206.25,$10.37,19.89
2021-10-31,242.1,$12.06,20.07
2021-07-31,242.58,$12.53,19.36
2021-04-30,191.96,$15.81,12.14
2021-01-31,167.2,$15.67,10.67
2020-10-31,139.9,$14.60,9.58
2020-07-31,115.12,$12.65,9.1
2020-04-30,99.82,$9.75,10.24
2020-01-31,100.17,$8.05,12.44
2019-10-31,96.14,$6.75,14.25
2019-07-31,77.1,$5.89,13.09
2019-04-30,68.47,$4.71,14.54
2019-01-31,64.0,$4.77,13.42
2018-10-31,72.65,$5.03,14.45
2018-07-31,69.55,$6.54,10.63
2018-04-30,62.06,$5.99,10.37
2018-01-31,63.75,$8.06,7.91
2017-10-31,49.53,$8.29,5.97
2017-07-31,47.02,$8.54,5.51
2017-04-30,45.84,$1.08,42.38
2017-01-31,52.44,$2.43,21.62
2016-10-31,55.43,$-0.39,0.0
2016-07-31,60.28,$-0.56,0.0
2016-01-31,57.06,$7.19,7.94
2015-10-31,60.34,$8.73,6.91
2015-07-31,63.54,$7.71,8.24
2015-04-30,60.8,$6.44,9.44
2015-01-31,56.39,$5.46,10.33
2016-04-30,63.14,$1.15,54.95
2014-10-31,46.99,$5.42,8.67
2014-07-31,44.9,$4.90,9.16
2014-04-30,46.18,$3.80,12.16
2014-01-31,42.04,$7.33,5.74
2013-10-31,47.78,$6.13,7.79
2013-07-31,52.21,$6.74,7.74
2013-04-30,51.44,$7.49,6.86
2013-01-31,43.79,$4.59,9.54
2012-10-31,45.94,$4.32,10.63
2012-07-31,43.46,$3.01,14.44
2012-04-30,41.29,$1.72,23.99
2012-01-31,36.0,$1.61,22.32
2011-10-31,38.58,$1.49,25.83
2011-07-31,36.06,$3.16,11.4
2011-04-30,34.22,$3.98,8.59
2011-01-31,38.03,$4.40,8.64
2010-10-31,35.87,$5.19,6.91
2010-07-31,35.27,$5.35,6.59
2010-04-30,38.96,$5.38,7.25
2010-01-31,35.01,$4.93,7.11
2009-10-31,32.95,$2.13,15.45
