ResMed Price to Free Cash Flow Ratio Historical Data,ResMed Price to Free Cash Flow Ratio Historical Data,ResMed Price to Free Cash Flow Ratio Historical Data,ResMed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,205.83,,27.86
2024-03-31,197.58,$7.39,26.74
2023-12-31,171.19,$6.52,26.24
2023-09-30,146.69,$5.52,26.57
2023-06-30,216.15,$3.89,55.56
2023-03-31,216.23,$2.86,75.61
2022-12-31,205.1,$1.61,127.55
2022-09-30,214.67,$2.21,97.12
2022-06-30,205.77,$1.47,139.87
2022-03-31,237.52,$2.46,96.44
2021-12-31,254.68,$3.17,80.29
2021-09-30,257.27,$2.80,91.79
2021-06-30,240.29,$4.33,55.51
2021-03-31,188.73,$5.14,36.74
2020-12-31,206.37,$5.40,38.22
2020-09-30,166.13,$4.78,34.73
2020-06-30,185.67,$4.85,38.25
2020-03-31,142.1,$3.53,40.2
2019-12-31,149.17,$2.96,50.45
2019-09-30,129.7,$3.42,37.92
2019-06-30,117.14,$2.70,43.36
2019-03-31,99.81,$2.65,37.63
2018-12-31,108.89,$2.73,39.84
2018-09-30,109.92,$2.77,39.63
2018-06-30,98.37,$3.07,32.01
2018-03-31,93.18,$3.16,29.53
2017-12-31,79.84,$2.58,30.98
2017-09-30,72.25,$2.51,28.8
2017-06-30,72.75,$2.47,29.46
2017-03-31,66.91,$2.51,26.65
2016-12-31,57.41,$2.94,19.55
2016-09-30,59.61,$3.20,18.64
2016-06-30,57.89,$3.45,16.76
2016-03-31,52.66,$3.17,16.62
2015-12-31,48.65,$2.94,16.57
2015-09-30,45.93,$2.55,18.04
2015-06-30,50.54,$2.25,22.49
2015-03-31,64.03,$2.29,27.9
2014-12-31,49.79,$2.33,21.36
2014-09-30,43.53,$2.16,20.14
2014-06-30,44.49,$2.21,20.16
2014-03-31,39.08,$2.28,17.11
2013-12-31,40.94,$2.28,17.92
2013-09-30,45.71,$2.38,19.19
2013-06-30,38.86,$2.32,16.77
2013-03-31,39.78,$2.12,18.75
2012-12-31,35.53,$2.06,17.22
2012-09-30,34.44,$2.19,15.7
2012-06-30,26.44,$2.25,11.75
2012-03-31,26.19,$2.07,12.65
2011-12-31,21.52,$1.95,11.04
2011-09-30,24.39,$1.60,15.29
2011-06-30,26.22,$1.38,19.03
2011-03-31,25.42,$1.29,19.7
2010-12-31,29.35,$1.14,25.75
2010-09-30,27.8,$0.28,100.25
2010-06-30,25.76,$0.29,88.47
2010-03-31,26.97,$0.24,110.61
2009-12-31,22.14,$0.31,72.41
