Church & Dwight Price to Free Cash Flow Ratio Historical Data,Church & Dwight Price to Free Cash Flow Ratio Historical Data,Church & Dwight Price to Free Cash Flow Ratio Historical Data,Church & Dwight Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,108.93,,34.75
2024-03-31,104.03,$3.13,33.19
2023-12-31,94.03,$3.26,28.85
2023-09-30,90.85,$3.80,23.88
2023-06-30,99.09,$3.56,27.8
2023-03-31,87.16,$3.32,26.28
2022-12-31,79.21,$2.87,27.62
2022-09-30,69.95,$2.92,23.97
2022-06-30,90.46,$3.40,26.58
2022-03-31,96.76,$3.77,25.69
2021-12-31,99.53,$3.51,28.39
2021-09-30,79.96,$2.96,27.02
2021-06-30,82.28,$2.48,33.18
2021-03-31,84.1,$2.95,28.46
2020-12-31,83.73,$3.56,23.5
2020-09-30,89.7,$3.82,23.51
2020-06-30,73.8,$4.13,17.88
2020-03-31,61.08,$3.54,17.26
2019-12-31,66.73,$3.14,21.27
2019-09-30,71.14,$2.95,24.13
2019-06-30,68.87,$2.89,23.87
2019-03-31,66.94,$2.72,24.58
2018-12-31,61.58,$2.80,21.95
2018-09-30,55.41,$3.05,18.19
2018-06-30,49.42,$2.77,17.86
2018-03-31,46.6,$2.57,18.12
2017-12-31,46.22,$2.49,18.6
2017-09-30,44.45,$2.11,21.05
2017-06-30,47.42,$2.18,21.74
2017-03-31,45.41,$2.16,20.99
2016-12-31,40.08,$2.31,17.35
2016-09-30,43.29,$2.45,17.66
2016-06-30,46.39,$2.30,20.19
2016-03-31,41.49,$2.23,18.65
2015-12-31,38.12,$2.04,18.71
2015-09-30,37.53,$1.70,22.06
2015-06-30,36.16,$1.82,19.85
2015-03-31,37.91,$1.82,20.82
2014-12-31,34.84,$1.71,20.39
2014-09-30,30.88,$1.68,18.43
2014-06-30,30.65,$1.72,17.79
2014-03-31,30.12,$1.65,18.22
2013-12-31,28.77,$1.53,18.79
2013-09-30,26.01,$1.86,13.96
2013-06-30,26.67,$1.55,17.22
2013-03-31,27.87,$1.45,19.19
2012-12-31,23.04,$1.57,14.64
2012-09-30,23.17,$1.22,18.94
2012-06-30,23.75,$1.26,18.91
2012-03-31,21.01,$1.33,15.81
2011-12-31,19.5,$1.24,15.74
2011-09-30,18.8,$1.34,13.98
2011-06-30,17.21,$1.41,12.18
2011-03-31,16.82,$1.29,12.99
2010-12-31,14.61,$1.29,11.32
2010-09-30,13.74,$1.05,13.05
2010-06-30,13.26,$0.83,15.92
2010-03-31,14.15,$1.03,13.71
2009-12-31,12.77,$1.03,12.35
