FirstEnergy Price to Free Cash Flow Ratio Historical Data,FirstEnergy Price to Free Cash Flow Ratio Historical Data,FirstEnergy Price to Free Cash Flow Ratio Historical Data,FirstEnergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,38.27,,0.0
2024-03-31,38.2,$-3.54,0.0
2023-12-31,35.85,$-3.43,0.0
2023-09-30,33.05,$-3.46,0.0
2023-06-30,37.2,$-3.30,0.0
2023-03-31,37.95,$-1.29,0.0
2022-12-31,39.34,$-0.29,0.0
2022-09-30,34.35,$-0.05,0.0
2022-06-30,35.29,$0.54,65.23
2022-03-31,41.77,$0.40,103.99
2021-12-31,37.53,$0.59,63.24
2021-09-30,31.82,$0.42,75.55
2021-06-30,32.9,$0.05,626.75
2021-03-31,30.36,$-0.24,0.0
2020-12-31,26.47,$-2.27,0.0
2020-09-30,24.5,$-2.12,0.0
2020-06-30,32.66,$-1.34,0.0
2020-03-31,33.42,$-1.15,0.0
2019-12-31,40.23,$-0.37,0.0
2019-09-30,39.6,$-0.11,0.0
2019-06-30,34.85,$-0.32,0.0
2019-03-31,33.56,$-0.06,0.0
2018-12-31,29.99,$-1.70,0.0
2018-09-30,29.41,$-0.34,0.0
2018-06-30,28.13,$0.60,47.22
2018-03-31,26.37,$0.16,163.35
2017-12-31,23.46,$3.62,6.47
2017-09-30,23.37,$2.35,9.93
2017-06-30,21.86,$1.88,11.62
2017-03-31,23.56,$1.88,12.54
2016-12-31,22.66,$1.32,17.14
2016-09-30,23.94,$2.16,11.07
2016-06-30,24.99,$2.96,8.46
2016-03-31,25.48,$2.84,8.97
2015-12-31,22.24,$1.83,12.15
2015-09-30,21.69,$1.01,21.39
2015-06-30,22.31,$0.22,99.55
2015-03-31,23.79,$-0.37,0.0
2014-12-31,26.22,$-0.49,0.0
2014-09-30,22.36,$-0.06,0.0
2014-06-30,22.87,$0.38,59.89
2014-03-31,22.17,$0.68,32.46
2013-12-31,21.24,$0.07,317.89
2013-09-30,23.13,$-0.53,0.0
2013-06-30,23.34,$-0.99,0.0
2013-03-31,26.06,$-0.45,0.0
2012-12-31,25.44,$-0.81,0.0
2012-09-30,26.52,$0.39,68.3
2012-06-30,29.26,$2.37,12.36
2012-03-31,26.8,$2.09,12.84
2011-12-31,25.72,$4.42,5.81
2011-09-30,25.76,$5.32,4.84
2011-06-30,25.01,$4.74,5.28
2011-03-31,20.74,$4.39,4.72
2010-12-31,20.41,$4.63,4.4
2010-09-30,20.92,$3.60,5.82
2010-06-30,18.85,$0.92,20.46
2010-03-31,20.6,$1.89,10.89
2009-12-31,24.17,$0.92,26.13
