DTE Energy Price to Free Cash Flow Ratio Historical Data,DTE Energy Price to Free Cash Flow Ratio Historical Data,DTE Energy Price to Free Cash Flow Ratio Historical Data,DTE Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,110.91,,0.0
2024-03-31,111.12,$-3.43,0.0
2023-12-31,108.24,$-3.45,0.0
2023-09-30,96.56,$-4.07,0.0
2023-06-30,106.06,$-5.56,0.0
2023-03-31,104.72,$-7.32,0.0
2022-12-31,111.37,$-7.03,0.0
2022-09-30,108.13,$-7.02,0.0
2022-06-30,118.32,$-5.88,0.0
2022-03-31,122.49,$-5.40,0.0
2021-12-31,109.98,$-3.62,0.0
2021-09-30,102.0,$-1.92,0.0
2021-06-30,117.49,$1.22,96.58
2021-03-31,118.71,$1.88,63.01
2020-12-31,107.34,$-0.76,0.0
2020-09-30,100.81,$-1.00,0.0
2020-06-30,93.36,$-3.47,0.0
2020-03-31,81.69,$-2.98,0.0
2019-12-31,110.55,$-1.88,0.0
2019-09-30,112.27,$-3.06,0.0
2019-06-30,107.19,$-1.86,0.0
2019-03-31,103.8,$-1.45,0.0
2018-12-31,91.09,$-0.18,0.0
2018-09-30,89.41,$0.85,104.89
2018-06-30,84.24,$-0.04,0.0
2018-03-31,84.1,$-0.31,0.0
2017-12-31,87.43,$-0.74,0.0
2017-09-30,85.09,$-2.27,0.0
2017-06-30,83.22,$-1.27,0.0
2017-03-31,79.73,$-0.27,0.0
2016-12-31,76.3,$0.22,350.14
2016-09-30,71.93,$1.29,55.71
2016-06-30,75.49,$0.04,1755.55
2016-03-31,68.51,$-0.79,0.0
2015-12-31,60.11,$-0.58,0.0
2015-09-30,59.7,$0.54,110.6
2015-06-30,54.93,$0.63,87.08
2015-03-31,58.84,$-0.70,0.0
2014-12-31,62.43,$-2.97,0.0
2014-09-30,54.54,$-3.10,0.0
2014-06-30,55.33,$-1.11,0.0
2013-12-31,46.33,$1.79,25.82
2013-09-30,45.59,$4.34,10.51
2013-06-30,45.85,$4.64,9.89
2013-03-31,46.3,$4.84,9.56
2012-12-31,40.31,$4.14,9.74
2014-03-31,52.32,$3.28,15.96
2012-09-30,39.83,$3.49,11.42
2012-06-30,39.02,$0.53,73.37
2012-03-31,35.84,$0.36,98.27
2011-12-31,35.09,$-0.72,0.0
2011-09-30,31.23,$-0.80,0.0
2010-12-31,27.87,$4.63,6.02
2010-09-30,27.9,$6.87,4.06
2010-06-30,27.38,$3.80,7.21
2010-03-31,26.48,$4.46,5.94
2009-12-31,25.58,$1.96,13.08
2011-06-30,31.5,$2.64,11.93
2009-09-30,20.37,$8.08,2.52
