Arch Capital Group Price to Free Cash Flow Ratio Historical Data,Arch Capital Group Price to Free Cash Flow Ratio Historical Data,Arch Capital Group Price to Free Cash Flow Ratio Historical Data,Arch Capital Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,101.89,,6.14
2024-03-31,92.44,$16.59,5.57
2023-12-31,74.27,$15.04,4.94
2023-09-30,79.71,$13.16,6.06
2023-06-30,74.85,$11.70,6.39
2023-03-31,67.87,$11.09,6.12
2022-12-31,62.78,$9.97,6.29
2022-09-30,45.54,$9.42,4.83
2022-06-30,45.49,$8.33,5.46
2022-03-31,48.42,$8.03,6.03
2021-12-31,44.45,$8.45,5.26
2021-09-30,38.18,$7.82,4.88
2021-06-30,38.94,$7.65,5.09
2021-03-31,38.37,$7.32,5.24
2020-12-31,36.07,$6.94,5.2
2020-09-30,29.25,$6.85,4.27
2020-06-30,28.65,$6.39,4.49
2020-03-31,28.46,$5.79,4.92
2019-12-31,42.89,$4.88,8.78
2019-09-30,41.98,$4.70,8.94
2019-06-30,37.08,$4.23,8.77
2019-03-31,32.32,$3.31,9.77
2018-12-31,26.72,$3.70,7.21
2018-09-30,29.81,$2.66,11.19
2018-06-30,26.46,$2.49,10.64
2018-03-31,28.53,$3.09,9.25
2017-12-31,30.26,$2.57,11.79
2017-09-30,32.83,$3.48,9.42
2017-06-30,31.1,$3.46,8.98
2017-03-31,31.59,$3.22,9.82
2016-12-31,28.76,$3.64,7.9
2016-09-30,26.42,$3.21,8.23
2016-06-30,24.0,$3.01,7.98
2016-03-31,23.7,$3.24,7.32
2015-12-31,23.25,$2.60,8.95
2015-09-30,24.49,$2.71,9.03
2015-06-30,22.32,$2.46,9.09
2015-03-31,20.53,$2.26,9.1
2014-12-31,19.7,$2.51,7.84
2014-09-30,18.24,$2.46,7.41
2014-06-30,19.15,$2.19,8.75
2014-03-31,19.18,$2.02,9.5
2013-12-31,19.9,$2.05,9.73
2013-09-30,18.04,$1.96,9.2
2013-06-30,17.14,$2.18,7.86
2013-03-31,17.52,$2.34,7.49
2012-12-31,14.67,$2.18,6.74
2012-09-30,13.88,$1.97,7.06
2012-06-30,13.23,$1.93,6.87
2012-03-31,12.41,$1.86,6.66
2011-12-31,12.41,$2.04,6.08
2011-09-30,10.89,$2.07,5.27
2011-06-30,10.64,$1.92,5.53
2011-03-31,11.02,$1.82,6.06
2010-12-31,9.78,$1.67,5.85
2010-09-30,9.31,$1.74,5.34
2010-06-30,8.28,$1.64,5.04
2010-03-31,8.47,$1.60,5.29
2009-12-31,7.95,$1.75,4.55
