CSX Price to Free Cash Flow Ratio Historical Data,CSX Price to Free Cash Flow Ratio Historical Data,CSX Price to Free Cash Flow Ratio Historical Data,CSX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,33.21,,21.59
2024-03-31,36.94,$1.54,24.01
2023-12-31,34.44,$1.65,20.88
2023-09-30,30.44,$1.64,18.55
2023-06-30,33.63,$1.68,20.05
2023-03-31,29.43,$1.69,17.37
2022-12-31,30.34,$1.74,17.41
2022-09-30,26.01,$1.76,14.78
2022-06-30,28.28,$1.69,16.77
2022-03-31,36.33,$0.98,37.14
2021-12-31,36.37,$0.85,43.04
2021-09-30,28.69,$0.67,42.76
2021-06-30,30.87,$0.46,66.51
2020-12-31,28.94,$1.17,24.77
2020-09-30,24.69,$1.89,13.06
2020-06-30,22.1,$2.06,10.73
2020-03-31,18.09,$2.28,7.93
2019-12-31,22.76,$2.25,10.12
2021-03-31,30.84,$1.57,19.66
2019-09-30,21.72,$1.46,14.85
2019-06-30,24.17,$1.41,17.09
2019-03-31,23.3,$1.35,17.2
2018-12-31,19.28,$1.24,15.49
2018-09-30,22.98,$0.97,23.58
2018-06-30,19.74,$0.84,23.47
2018-03-31,17.18,$0.58,29.58
2017-12-31,16.9,$0.56,30.31
2017-09-30,16.61,$0.51,32.82
2017-06-30,16.63,$0.34,49.4
2017-03-31,14.14,$0.40,35.21
2016-12-31,10.87,$0.29,36.89
2016-09-30,9.18,$0.42,21.83
2016-06-30,7.8,$0.39,19.86
2016-03-31,7.65,$0.41,18.82
2015-12-31,7.65,$0.32,23.65
2015-09-30,7.88,$0.27,29.12
2015-06-30,9.51,$0.26,36.83
2015-03-31,9.59,$0.02,491.96
2014-12-31,10.45,$0.05,200.51
2014-09-30,9.21,$0.11,86.35
2014-06-30,8.8,$0.10,91.1
2013-12-31,8.13,$0.33,24.68
2013-09-30,7.23,$0.48,15.12
2013-06-30,6.48,$0.41,15.63
2013-03-31,6.84,$0.46,14.8
2012-12-31,5.44,$0.41,13.17
2014-03-31,8.23,$0.19,42.67
2012-09-30,5.68,$0.24,24.17
2012-06-30,6.09,$0.27,22.7
2012-03-31,5.82,$0.40,14.69
2011-12-31,5.67,$0.44,12.91
2011-09-30,4.99,$0.46,10.96
2011-06-30,6.97,$0.42,16.5
2011-03-31,6.94,$0.36,19.31
2010-12-31,5.68,$0.44,12.86
2010-09-30,4.84,$0.37,13.09
2010-06-30,4.33,$0.31,14.04
2010-03-31,4.42,$0.26,16.82
2009-12-31,4.18,$0.18,22.65
