LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data,LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data,LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data,LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,95.21,,11.56
2024-03-31,102.28,$8.23,12.42
2023-12-31,93.9,$10.46,8.97
2023-09-30,92.3,$10.78,8.57
2023-06-30,88.36,$9.81,9.0
2023-03-31,89.06,$10.08,8.83
2022-12-31,77.81,$12.89,6.03
2022-09-30,69.59,$16.67,4.17
2022-06-30,79.76,$18.61,4.29
2022-03-31,88.5,$19.69,4.49
2021-12-31,78.47,$17.17,4.57
2021-09-30,78.86,$11.38,6.93
2021-06-30,85.5,$7.69,11.12
2021-03-31,85.64,$5.41,15.84
2020-12-31,74.72,$4.36,17.13
2020-09-30,56.78,$4.17,13.62
2020-06-30,52.14,$6.50,8.03
2020-03-31,38.83,$5.91,6.57
2019-12-31,72.85,$6.42,11.34
2019-09-30,68.21,$6.77,10.08
2019-06-30,64.75,$5.72,11.32
2019-03-31,62.39,$7.35,8.49
2018-12-31,51.9,$8.65,6.0
2018-09-30,63.23,$9.74,6.49
2018-06-30,67.15,$10.28,6.54
2018-03-31,64.06,$9.99,6.41
2017-12-31,66.26,$9.17,7.22
2017-09-30,58.98,$9.18,6.43
2017-06-30,49.75,$8.05,6.18
2017-03-31,53.17,$6.86,7.75
2016-12-31,49.56,$8.01,6.19
2016-09-30,46.15,$6.76,6.83
2016-06-30,42.1,$7.97,5.28
2016-03-31,47.91,$8.81,5.44
2015-12-31,48.17,$9.45,5.1
2015-09-30,45.82,$11.04,4.15
2015-06-30,56.35,$10.18,5.54
2015-03-31,47.43,$10.31,4.6
2014-12-31,42.54,$8.73,4.87
2014-09-30,57.78,$8.02,7.2
2014-06-30,51.61,$7.04,7.33
2014-03-31,46.65,$5.87,7.94
2013-12-31,41.82,$5.74,7.28
2013-09-30,37.85,$5.18,7.31
2013-06-30,34.02,$6.99,4.86
2013-03-31,32.25,$5.97,5.4
2012-12-31,28.89,$6.46,4.47
2012-09-30,24.45,$4.39,5.57
2012-06-30,18.9,$3.49,5.41
2012-03-31,20.27,$4.47,4.53
2011-12-31,15.0,$3.29,4.56
2011-09-30,9.73,$4.86,2.0
2011-06-30,15.25,$4.40,3.47
2011-03-31,15.62,$2.68,5.83
