NIKE Price to Free Cash Flow Ratio Historical Data,NIKE Price to Free Cash Flow Ratio Historical Data,NIKE Price to Free Cash Flow Ratio Historical Data,NIKE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,97.17,,24.19
2024-02-29,103.55,$4.02,25.78
2023-11-30,109.51,$4.05,27.01
2023-08-31,100.68,$2.84,35.47
2023-05-31,103.86,$3.10,33.47
2023-02-28,116.89,$2.41,48.5
2022-11-30,107.61,$1.13,95.38
2022-08-31,104.13,$2.24,46.56
2022-05-31,115.96,$2.75,42.17
2022-02-28,132.93,$3.34,39.8
2021-11-30,164.45,$4.00,41.1
2021-08-31,160.08,$3.83,41.76
2021-05-31,132.38,$3.70,35.74
2021-02-28,130.49,$2.37,55.1
2020-11-30,129.89,$2.26,57.52
2020-08-31,107.89,$1.25,86.09
2020-05-31,94.85,$0.88,107.91
2020-02-29,85.79,$2.12,40.38
2019-11-30,89.49,$2.09,42.75
2019-08-31,80.67,$2.44,33.08
2019-05-31,73.45,$2.96,24.85
2019-02-28,81.19,$3.05,26.58
2018-11-30,71.14,$2.88,24.72
2018-08-31,77.62,$2.77,28.01
2018-05-31,67.45,$2.37,28.5
2018-02-28,62.78,$1.58,39.85
2017-11-30,56.4,$1.72,32.77
2017-08-31,49.3,$1.51,32.63
2017-05-31,49.13,$1.63,30.18
2017-02-28,52.83,$1.97,26.8
2016-11-30,46.11,$1.81,25.55
2016-08-31,52.94,$1.50,35.27
2016-05-31,50.57,$1.30,38.89
2016-02-29,56.26,$1.21,46.52
2015-11-30,60.27,$1.75,34.47
2015-08-31,50.78,$1.96,25.87
2015-05-31,46.2,$2.10,21.97
2015-02-28,44.01,$2.10,20.97
2014-11-30,44.74,$1.50,29.73
2014-08-31,35.39,$1.21,29.19
2014-05-31,34.55,$1.18,29.3
2014-02-28,35.06,$1.20,29.18
2013-11-30,35.22,$1.07,33.06
2013-08-31,27.96,$1.31,21.36
2013-05-31,27.35,$1.34,20.48
2013-02-28,24.08,$1.07,22.4
2012-11-30,21.37,$1.04,20.63
2012-08-31,21.35,$0.92,23.26
2012-05-31,23.63,$0.67,35.16
2012-02-29,23.42,$0.66,35.51
2011-11-30,20.79,$0.66,31.6
2011-08-31,18.67,$0.63,29.43
2011-05-31,18.12,$0.71,25.49
2011-02-28,19.04,$0.94,20.29
2010-11-30,18.36,$1.06,17.36
2010-08-31,14.86,$1.18,12.6
2010-05-31,15.31,$1.44,10.66
2010-02-28,14.24,$1.34,10.66
2009-11-30,13.62,$1.28,10.62
