Hormel Foods Price to Free Cash Flow Ratio Historical Data,Hormel Foods Price to Free Cash Flow Ratio Historical Data,Hormel Foods Price to Free Cash Flow Ratio Historical Data,Hormel Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,30.96,,17.16
2024-04-30,35.56,$1.80,19.71
2024-01-31,30.12,$1.77,17.06
2023-10-31,32.0,$1.43,22.44
2023-07-31,39.84,$1.55,25.78
2023-04-30,39.15,$1.34,29.27
2023-01-31,43.56,$1.26,34.52
2022-10-31,44.39,$1.56,28.45
2022-07-31,46.88,$1.91,24.59
2022-04-30,49.5,$1.72,28.79
2022-01-31,44.63,$1.72,26.03
2021-10-31,39.58,$1.41,28.08
2021-07-31,43.13,$0.75,57.52
2021-04-30,42.74,$1.15,37.18
2021-01-31,43.13,$1.46,29.57
2020-10-31,44.57,$1.39,31.95
2020-07-31,46.34,$1.58,29.35
2020-04-30,42.48,$1.41,30.16
2020-01-31,42.64,$1.14,37.49
2019-10-31,36.71,$1.22,30.03
2019-07-31,36.61,$1.49,24.57
2019-04-30,35.49,$1.58,22.43
2019-01-31,37.41,$1.45,25.83
2018-10-31,38.39,$1.58,24.23
2018-07-31,31.5,$1.68,18.81
2018-04-30,31.59,$1.70,18.54
2018-01-31,29.76,$1.68,17.73
2017-10-31,26.86,$1.51,17.74
2017-07-31,29.29,$1.38,21.19
2017-04-30,29.92,$1.26,23.69
2017-01-31,30.81,$1.30,23.66
2016-10-31,32.52,$1.46,22.31
2016-07-31,31.42,$1.32,23.76
2016-04-30,32.31,$1.43,22.55
2016-01-31,33.57,$1.63,20.56
2015-10-31,28.1,$1.60,17.54
2015-07-31,24.53,$1.69,14.49
2015-04-30,22.42,$1.47,15.23
2015-01-31,21.04,$1.01,20.85
2014-10-31,22.04,$1.11,19.92
2014-07-31,18.43,$0.86,21.36
2014-04-30,19.34,$0.98,19.74
2014-01-31,18.35,$1.29,14.17
2013-10-31,17.47,$1.00,17.45
2013-07-31,16.96,$1.04,16.28
2013-04-30,16.46,$0.83,19.74
2013-01-31,13.75,$0.73,18.95
2012-10-31,11.61,$0.73,16.01
2012-07-31,10.92,$0.60,18.1
2012-04-30,11.31,$0.58,19.54
2012-01-31,11.14,$0.22,50.77
2011-10-31,11.35,$0.34,33.25
2011-07-31,11.11,$0.23,48.79
2011-04-30,11.23,$0.27,42.22
2010-10-31,8.68,$0.74,11.74
2010-07-31,8.08,$0.98,8.28
2010-04-30,7.63,$1.12,6.8
2010-01-31,7.21,$1.12,6.44
2009-10-31,6.76,$1.07,6.34
2011-01-31,9.39,$0.76,12.31
