Simon Property Price to Free Cash Flow Ratio Historical Data,Simon Property Price to Free Cash Flow Ratio Historical Data,Simon Property Price to Free Cash Flow Ratio Historical Data,Simon Property Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,146.16,,15.47
2024-03-31,156.49,$9.45,16.57
2023-12-31,140.81,$9.60,14.67
2023-09-30,105.12,$9.23,11.38
2023-06-30,110.53,$9.49,11.65
2023-03-31,105.4,$9.78,10.78
2022-12-31,108.91,$9.69,11.24
2022-09-30,81.95,$9.79,8.37
2022-06-30,85.21,$9.45,9.01
2022-03-31,116.27,$9.10,12.78
2021-12-31,139.47,$9.47,14.72
2021-09-30,112.24,$9.79,11.46
2021-06-30,110.24,$9.54,11.56
2021-03-31,95.04,$6.67,14.25
2020-12-31,71.24,$6.08,11.72
2020-09-30,52.24,$5.66,9.22
2020-06-30,54.07,$6.29,8.59
2020-03-31,43.38,$9.26,4.69
2019-12-31,116.04,$9.54,12.16
2019-09-30,119.61,$10.44,11.45
2019-06-30,121.05,$10.13,11.95
2019-03-31,136.47,$10.03,13.61
2018-12-31,124.43,$10.18,12.22
2018-09-30,129.5,$9.07,14.28
2018-06-30,123.3,$9.32,13.23
2018-03-31,110.43,$9.37,11.78
2017-12-31,121.35,$9.25,13.12
2017-09-30,112.46,$9.19,12.24
2017-06-30,111.71,$9.41,11.87
2017-03-31,117.48,$8.58,13.69
2016-12-31,120.18,$8.35,14.39
2016-09-30,138.79,$8.23,16.85
2016-06-30,144.31,$7.09,20.36
2016-03-31,137.07,$6.94,19.74
2015-12-31,127.2,$6.57,19.37
2015-09-30,119.19,$6.18,19.28
2015-06-30,111.34,$6.51,17.1
2015-03-31,124.86,$6.19,20.16
2014-12-31,115.39,$6.22,18.54
2014-09-30,103.43,$6.52,15.87
2014-06-30,103.8,$6.20,16.73
2014-03-31,95.66,$6.32,15.13
2013-12-31,88.05,$5.99,14.69
2013-09-30,85.1,$5.76,14.76
2013-06-30,89.98,$5.53,16.28
2013-03-31,89.77,$5.26,17.08
2012-12-31,88.88,$5.64,15.75
2012-09-30,84.72,$5.30,15.98
2012-06-30,86.29,$5.63,15.32
2012-03-31,80.24,$5.49,14.6
2011-12-31,70.53,$5.32,13.27
2011-09-30,59.63,$5.50,10.83
2011-06-30,62.59,$5.43,11.52
2011-03-31,57.3,$5.14,11.15
2010-12-31,52.81,$5.14,10.26
2010-09-30,48.83,$5.09,9.59
2010-06-30,42.24,$4.81,8.78
2010-03-31,43.6,$5.09,8.56
2009-12-31,41.12,$5.01,8.21
