Coterra Energy Price to Free Cash Flow Ratio Historical Data,Coterra Energy Price to Free Cash Flow Ratio Historical Data,Coterra Energy Price to Free Cash Flow Ratio Historical Data,Coterra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,27.65,,21.11
2024-03-31,27.67,$1.31,21.13
2023-12-31,25.13,$2.10,11.94
2023-09-30,26.44,$2.96,8.93
2023-06-30,24.55,$4.36,5.63
2023-03-31,23.63,$4.76,4.96
2022-12-31,23.08,$4.73,4.88
2022-09-30,23.95,$4.74,5.05
2022-06-30,23.12,$3.20,7.22
2022-03-31,23.69,$2.76,8.59
2021-12-31,16.34,$1.88,8.7
2021-09-30,18.01,$1.16,15.49
2021-06-30,14.36,$0.96,14.89
2021-03-31,15.34,$0.78,19.65
2020-12-31,13.23,$0.51,26.14
2020-09-30,14.03,$0.20,70.98
2020-06-30,13.81,$0.44,31.13
2020-03-31,13.75,$0.80,17.23
2019-12-31,13.83,$1.58,8.76
2019-09-30,13.88,$1.50,9.23
2019-06-30,18.14,$1.37,13.26
2019-03-31,20.55,$1.25,16.38
2018-12-31,17.55,$1.99,8.84
2018-09-30,17.63,$2.02,8.71
2018-06-30,18.59,$2.02,9.21
2018-03-31,18.68,$2.06,9.08
2017-12-31,22.23,$0.53,41.56
2017-09-30,20.76,$0.38,54.44
2017-06-30,19.42,$0.36,53.49
2017-03-31,18.48,$0.23,79.2
2016-12-31,18.04,$0.16,113.37
2016-09-30,19.9,$0.20,98.09
2016-06-30,19.84,$0.10,190.22
2016-03-31,17.49,$-0.12,0.0
2015-12-31,13.61,$-0.48,0.0
2015-09-30,16.8,$-1.00,0.0
2015-06-30,24.22,$-0.90,0.0
2015-03-31,22.67,$-0.59,0.0
2014-12-31,22.71,$-0.49,0.0
2014-09-30,25.06,$0.47,53.74
2014-06-30,26.15,$0.36,72.33
2014-03-31,25.94,$0.28,94.23
2013-12-31,29.66,$0.36,81.74
2013-09-30,28.54,$-0.21,0.0
2013-06-30,27.15,$-0.36,0.0
2013-03-31,25.83,$-0.23,0.0
2012-12-31,19.0,$-0.25,0.0
2012-09-30,17.14,$0.34,50.05
2012-06-30,15.04,$0.37,40.64
2012-03-31,11.89,$0.16,76.26
2011-12-31,14.47,$0.03,429.26
2011-09-30,11.8,$-0.17,0.0
2011-06-30,12.63,$-0.15,0.0
2011-03-31,10.08,$-0.28,0.0
2010-12-31,7.2,$-0.31,0.0
2010-09-30,5.72,$-0.61,0.0
2010-06-30,5.95,$-0.43,0.0
2010-03-31,6.98,$-0.08,0.0
2009-12-31,8.26,$0.20,41.66
