NRG Energy Price to Free Cash Flow Ratio Historical Data,NRG Energy Price to Free Cash Flow Ratio Historical Data,NRG Energy Price to Free Cash Flow Ratio Historical Data,NRG Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,80.02,,6.27
2024-03-31,67.31,$12.76,5.27
2023-12-31,51.02,$5.21,9.79
2023-09-30,37.68,$-9.57,0.0
2023-06-30,36.21,$-17.64,0.0
2023-03-31,32.85,$-12.92,0.0
2022-12-31,30.15,$0.43,69.76
2022-09-30,35.98,$3.69,9.75
2022-06-30,35.55,$15.77,2.25
2022-03-31,35.38,$14.23,2.49
2021-12-31,39.39,$4.30,9.16
2021-09-30,37.03,$9.31,3.98
2021-06-30,36.27,$6.22,5.83
2021-03-31,33.65,$3.04,11.09
2020-12-31,33.23,$6.86,4.84
2020-09-30,26.95,$6.59,4.09
2020-06-30,28.29,$5.77,4.9
2020-03-31,23.48,$5.83,4.03
2019-12-31,33.96,$9.39,3.62
2019-09-30,33.8,$8.51,3.97
2019-06-30,29.95,$13.11,2.29
2019-03-31,36.2,$11.71,3.09
2018-12-31,33.72,$8.29,4.07
2018-09-30,31.82,$10.55,3.02
2018-06-30,26.1,$8.21,3.18
2018-03-31,25.93,$7.32,3.54
2017-12-31,24.16,$5.63,4.29
2017-09-30,21.68,$4.11,5.27
2017-06-30,14.57,$2.46,5.93
2017-03-31,15.8,$2.91,5.43
2016-12-31,10.34,$5.08,2.04
2016-09-30,9.42,$3.21,2.93
2016-06-30,12.58,$2.68,4.7
2016-03-31,10.89,$2.28,4.77
2015-12-31,9.72,$1.05,9.21
2015-09-30,12.12,$2.16,5.6
2015-06-30,18.56,$2.18,8.52
2015-03-31,20.31,$1.68,12.07
2014-12-31,21.61,$2.37,9.11
2014-09-30,24.32,$1.82,13.33
2014-06-30,29.55,$1.80,16.43
2014-03-31,25.15,$1.43,17.54
2013-12-31,22.62,$-2.18,0.0
2013-09-30,21.43,$-5.69,0.0
2013-06-30,20.85,$-8.77,0.0
2013-03-31,20.59,$-8.78,0.0
2012-12-31,17.81,$-9.02,0.0
2012-09-30,16.5,$-7.52,0.0
2012-06-30,13.33,$-6.95,0.0
2012-03-31,12.03,$-7.84,0.0
2011-12-31,13.91,$-4.72,0.0
2011-09-30,16.29,$-1.72,0.0
2011-06-30,18.87,$0.42,45.37
2011-03-31,16.54,$3.93,4.21
2010-12-31,15.0,$3.78,3.97
2010-09-30,15.99,$5.11,3.13
2010-06-30,16.29,$4.99,3.26
2010-03-31,16.05,$5.25,3.06
2009-12-31,18.13,$5.08,3.57
