Ingersoll Rand Price to Free Cash Flow Ratio Historical Data,Ingersoll Rand Price to Free Cash Flow Ratio Historical Data,Ingersoll Rand Price to Free Cash Flow Ratio Historical Data,Ingersoll Rand Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,92.89,,31.04
2024-03-31,94.93,$2.99,31.72
2023-12-31,77.31,$3.13,24.71
2023-09-30,63.67,$2.56,24.87
2023-06-30,65.29,$2.28,28.68
2023-03-31,58.1,$2.18,26.65
2022-12-31,52.16,$1.88,27.76
2022-09-30,43.17,$1.63,26.54
2022-06-30,41.98,$1.33,31.56
2022-03-31,50.2,$1.24,40.34
2021-12-31,61.66,$1.36,45.31
2021-09-30,50.23,$1.58,31.85
2021-06-30,48.63,$1.69,28.71
2021-03-31,49.03,$0.91,54.12
2020-12-31,45.39,$0.59,76.76
2020-09-30,35.47,$0.35,100.97
2020-06-30,28.02,$0.16,178.68
2019-12-31,36.55,$0.89,41.04
2019-09-30,28.19,$2.79,10.09
2019-06-30,34.47,$2.40,14.36
2019-03-31,27.71,$2.60,10.65
2018-12-31,20.38,$2.93,6.96
2020-03-31,24.71,$1.40,17.68
2018-09-30,28.24,$1.84,15.35
2018-06-30,29.28,$1.66,17.62
2018-03-31,30.57,$1.06,28.8
