ADP Price to Free Cash Flow Ratio Historical Data,ADP Price to Free Cash Flow Ratio Historical Data,ADP Price to Free Cash Flow Ratio Historical Data,ADP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,247.97,,26.57
2024-03-31,248.31,$9.33,26.61
2023-12-31,230.31,$9.10,25.32
2023-09-30,236.4,$8.76,26.99
2023-06-30,214.9,$9.63,22.33
2023-03-31,216.41,$8.97,24.13
2022-12-31,230.87,$7.92,29.14
2022-09-30,217.58,$8.38,25.98
2022-06-30,201.18,$7.03,28.63
2022-03-31,216.9,$6.45,33.62
2021-12-31,233.89,$7.03,33.27
2021-09-30,188.78,$6.10,30.96
2021-06-30,186.7,$6.85,27.25
2021-03-31,176.34,$7.11,24.82
2020-12-31,164.02,$6.82,24.06
2020-09-30,129.15,$6.77,19.09
2020-06-30,136.91,$6.66,20.55
2020-03-31,124.89,$6.51,19.18
2019-12-31,154.71,$6.26,24.71
2019-09-30,145.68,$6.47,22.52
2019-06-30,148.47,$5.79,25.64
2019-03-31,142.77,$5.71,25.0
2018-12-31,116.58,$5.92,19.7
2018-09-30,133.19,$5.07,26.29
2018-06-30,118.03,$5.21,22.66
2018-03-31,99.34,$6.31,15.75
2017-12-31,102.04,$4.83,21.15
2017-09-30,94.67,$4.57,20.7
2017-06-30,88.27,$5.53,15.96
2016-12-31,87.57,$4.46,19.62
2016-09-30,74.71,$4.30,17.36
2016-06-30,77.36,$3.80,20.36
2016-03-31,75.09,$3.41,22.02
2015-12-31,70.47,$3.66,19.27
2015-09-30,66.38,$3.22,20.61
2015-06-30,65.91,$3.86,17.05
2015-03-31,69.94,$4.08,17.16
2014-12-31,67.7,$3.75,18.06
2014-09-30,58.97,$4.10,14.37
2014-06-30,55.95,$3.44,16.26
2014-03-31,54.19,$3.44,15.76
2013-12-31,56.32,$3.17,17.74
2013-09-30,50.15,$3.28,15.27
2013-06-30,47.43,$2.99,15.86
2013-03-31,44.5,$2.79,15.97
2012-12-31,38.69,$2.88,13.44
2012-09-30,39.56,$2.97,13.31
2012-06-30,37.28,$3.74,9.96
2012-03-31,36.7,$3.65,10.05
2011-12-31,35.65,$3.44,10.38
2011-09-30,30.89,$3.26,9.47
2011-06-30,34.26,$3.08,11.11
2011-03-31,33.14,$2.96,11.2
2010-12-31,29.68,$3.08,9.64
2010-09-30,26.75,$3.12,8.58
2010-06-30,25.41,$3.14,8.09
2010-03-31,27.83,$3.15,8.83
2009-12-31,26.59,$0.73,36.43
2009-09-30,24.22,$3.25,7.45
