Conagra Brands Price to Free Cash Flow Ratio Historical Data,Conagra Brands Price to Free Cash Flow Ratio Historical Data,Conagra Brands Price to Free Cash Flow Ratio Historical Data,Conagra Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,28.82,,9.75
2024-02-29,27.77,$2.95,9.4
2023-11-30,27.64,$2.43,11.39
2023-08-31,28.82,$1.66,17.39
2023-05-31,33.28,$1.32,25.14
2023-02-28,34.45,$1.59,21.62
2022-11-30,35.62,$1.72,20.67
2022-08-31,31.95,$1.84,17.37
2022-05-31,30.27,$1.52,19.91
2022-02-28,31.91,$1.44,22.21
2021-11-30,27.63,$1.48,18.72
2021-08-31,29.67,$1.66,17.83
2021-05-31,33.81,$1.98,17.1
2021-02-28,29.89,$3.10,9.65
2020-11-30,31.95,$3.06,10.43
2020-08-31,33.26,$3.12,10.66
2020-05-31,30.0,$3.04,9.86
2020-02-29,22.87,$2.01,11.39
2019-11-30,24.58,$1.95,12.62
2019-08-31,23.96,$1.93,12.44
2019-05-31,22.45,$1.78,12.59
2019-02-28,19.46,$1.18,16.56
2018-11-30,26.93,$1.35,19.95
2018-08-31,30.43,$1.58,19.29
2018-05-31,30.51,$1.74,17.49
2018-02-28,29.57,$2.23,13.27
2017-11-30,30.38,$1.91,15.88
2017-08-31,26.42,$1.78,14.83
2017-05-31,31.18,$2.16,14.44
2017-02-28,33.17,$2.59,12.8
2016-11-30,29.38,$2.72,10.81
2016-08-31,28.8,$2.92,9.86
2016-05-31,28.08,$2.32,12.1
2016-02-29,25.7,$3.08,8.34
2015-11-30,24.85,$2.92,8.51
2015-08-31,25.15,$2.61,9.63
2015-05-31,23.17,$2.94,7.88
2015-02-28,20.85,$2.72,7.66
2014-11-30,21.62,$2.74,7.9
2014-08-31,18.92,$3.07,6.17
2014-05-31,18.83,$2.72,6.92
2014-02-28,16.42,$2.40,6.85
2013-11-30,18.93,$2.27,8.35
2013-08-31,19.25,$1.85,10.4
2013-05-31,19.05,$2.41,7.9
2013-02-28,19.15,$1.64,11.71
2012-11-30,16.64,$1.67,9.95
2012-08-31,13.87,$1.75,7.91
2012-05-31,13.75,$1.74,7.92
2012-02-29,14.22,$2.02,7.05
2011-11-30,13.56,$2.61,5.2
2011-08-31,12.99,$2.66,4.88
2011-05-31,13.4,$2.08,6.43
2011-02-28,12.09,$2.11,5.73
2010-11-30,11.1,$1.75,6.36
2010-08-31,11.05,$2.04,5.41
2010-05-31,12.27,$2.41,5.09
2010-02-28,12.31,$2.55,4.82
2009-11-30,11.07,$0.31,35.73
