Gen Digital Price to Free Cash Flow Ratio Historical Data,Gen Digital Price to Free Cash Flow Ratio Historical Data,Gen Digital Price to Free Cash Flow Ratio Historical Data,Gen Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,24.22,,7.52
2024-03-31,22.29,$3.22,6.92
2023-12-31,22.57,$1.59,14.19
2023-09-30,17.38,$1.55,11.23
2023-06-30,18.13,$1.20,15.16
2023-03-31,16.64,$1.20,13.83
2022-12-31,20.66,$1.21,17.14
2022-09-30,19.31,$1.31,14.74
2022-06-30,20.95,$2.16,9.71
2022-03-31,25.17,$2.24,11.24
2021-12-31,24.55,$2.44,10.04
2021-09-30,23.78,$2.38,10.0
2021-06-30,25.47,$1.69,15.07
2021-03-31,19.8,$1.53,12.94
2020-12-31,19.24,$-1.97,0.0
2020-09-30,19.16,$-1.86,0.0
2020-06-30,18.13,$-1.63,0.0
2020-03-31,17.01,$-1.48,0.0
2019-12-31,13.57,$2.06,6.6
2019-09-30,12.5,$1.99,6.28
2019-06-30,11.47,$1.30,8.83
2019-03-31,12.07,$1.21,9.97
2018-12-31,9.89,$0.77,12.81
2018-09-30,11.1,$0.48,22.99
2018-03-31,13.39,$1.21,11.07
2017-12-31,14.49,$1.42,10.22
2017-09-30,16.9,$1.28,13.24
2017-06-30,14.51,$1.10,13.21
2017-03-31,15.72,$-0.45,0.0
2016-12-31,12.21,$-0.66,0.0
2016-09-30,12.79,$-0.87,0.0
2016-06-30,10.43,$-0.81,0.0
2016-03-31,9.29,$0.82,11.4
2015-12-31,8.49,$1.10,7.72
2015-09-30,7.81,$1.54,5.06
2015-06-30,9.27,$1.51,6.12
2015-03-31,9.25,$1.46,6.35
2014-12-31,10.1,$1.46,6.9
2014-09-30,9.2,$1.39,6.61
2014-06-30,8.91,$1.49,5.99
2014-03-31,7.71,$1.55,4.97
2013-12-31,9.04,$2.23,4.05
2013-09-30,9.43,$2.31,4.08
2013-06-30,8.52,$2.68,3.18
2013-03-31,9.29,$2.45,3.78
2018-06-30,10.73,$1.51,7.12
2012-12-31,7.08,$1.84,3.86
2012-09-30,6.76,$1.74,3.89
2012-06-30,5.5,$1.93,2.85
2012-03-31,7.04,$2.16,3.26
2011-12-31,5.89,$2.13,2.76
2011-09-30,6.13,$2.22,2.76
2011-06-30,7.42,$2.22,3.34
2011-03-31,6.98,$1.98,3.52
2010-12-31,6.3,$1.96,3.22
2010-09-30,5.69,$1.89,3.01
2010-06-30,5.22,$1.79,2.93
2010-03-31,6.37,$1.82,3.5
2009-12-31,6.73,$2.81,2.39
