Skyworks Solutions Price to Free Cash Flow Ratio Historical Data,Skyworks Solutions Price to Free Cash Flow Ratio Historical Data,Skyworks Solutions Price to Free Cash Flow Ratio Historical Data,Skyworks Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,106.38,,10.75
2024-03-31,107.54,$9.89,10.87
2023-12-31,110.89,$10.51,10.55
2023-09-30,96.55,$10.27,9.4
2023-06-30,107.71,$8.95,12.03
2023-03-31,114.13,$7.88,14.48
2022-12-31,87.67,$7.24,12.11
2022-09-30,81.48,$5.73,14.23
2022-06-30,88.0,$6.06,14.52
2022-03-31,125.92,$6.32,19.91
2021-12-31,145.98,$7.52,19.41
2021-09-30,154.49,$6.79,22.75
2021-06-30,179.23,$6.66,26.93
2021-03-31,170.98,$6.88,24.86
2020-12-31,142.09,$5.32,26.73
2020-09-30,134.74,$4.80,28.09
2020-06-30,117.99,$6.01,19.64
2020-03-31,82.17,$5.57,14.76
2019-12-31,110.72,$4.87,22.75
2019-09-30,72.26,$5.55,13.01
2019-06-30,70.04,$4.18,16.75
2019-03-31,74.35,$3.85,19.29
2018-12-31,60.06,$5.14,11.68
2018-09-30,80.86,$4.58,17.67
2018-06-30,85.81,$5.84,14.69
2018-03-31,88.73,$6.53,13.58
2017-12-31,83.77,$5.59,14.99
2017-09-30,89.65,$6.18,14.52
2017-06-30,84.15,$6.59,12.77
2017-03-31,85.69,$5.96,14.39
2016-12-31,65.1,$5.64,11.54
2016-09-30,66.15,$4.62,14.3
2016-06-30,54.74,$2.86,19.14
2016-03-31,67.12,$2.99,22.46
2015-12-31,65.9,$2.73,24.16
2015-09-30,71.86,$2.89,24.89
2015-06-30,88.73,$3.08,28.83
2015-03-31,83.66,$3.17,26.4
2014-12-31,61.79,$3.71,16.67
2014-09-30,49.23,$2.93,16.82
2014-06-30,39.74,$2.92,13.6
2014-03-31,31.67,$2.42,13.07
2013-12-31,24.11,$2.08,11.61
2013-09-30,20.97,$1.96,10.72
2013-06-30,18.48,$1.45,12.75
2013-03-31,18.59,$1.32,14.1
2012-12-31,17.13,$1.25,13.73
2012-09-30,19.89,$1.00,19.96
2012-06-30,23.06,$1.46,15.82
2012-03-31,23.34,$1.76,13.25
2011-12-31,13.69,$1.60,8.58
2011-09-30,15.16,$1.39,10.9
2011-06-30,19.4,$1.07,18.17
2011-03-31,27.35,$0.78,35.06
2010-12-31,24.16,$0.69,35.1
2010-09-30,17.45,$0.73,23.79
2010-06-30,14.17,$0.85,16.74
2010-03-31,13.17,$1.00,13.14
2009-12-31,11.98,$1.27,9.41
