Applied Materials Price to Free Cash Flow Ratio Historical Data,Applied Materials Price to Free Cash Flow Ratio Historical Data,Applied Materials Price to Free Cash Flow Ratio Historical Data,Applied Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,229.84,,28.36
2024-04-30,198.29,$8.11,24.46
2024-01-31,163.72,$9.16,17.88
2023-10-31,131.6,$8.99,14.64
2023-07-31,150.41,$8.21,18.32
2023-04-30,111.86,$6.93,16.15
2023-01-31,110.07,$4.79,22.97
2022-10-31,86.96,$5.26,16.54
2022-07-31,104.11,$5.60,18.6
2022-04-30,108.15,$5.81,18.61
2022-01-31,135.17,$6.59,20.51
2021-10-31,133.46,$5.19,25.69
2021-07-31,136.42,$5.42,25.17
2021-04-30,129.15,$4.56,28.34
2021-01-31,93.92,$4.11,22.83
2020-10-31,57.37,$3.66,15.66
2020-07-31,62.11,$3.17,19.59
2020-04-30,47.78,$3.08,15.51
2020-01-31,55.59,$3.20,17.39
2019-10-31,51.83,$2.97,17.46
2019-07-31,46.95,$3.06,15.35
2019-04-30,41.69,$2.86,14.59
2019-01-31,36.78,$2.63,13.98
2018-10-31,30.77,$3.08,9.98
2018-07-31,45.3,$2.78,16.3
2018-04-30,46.09,$3.43,13.45
2018-01-31,49.68,$3.69,13.47
2017-10-31,52.18,$3.18,16.42
2017-07-31,40.88,$3.34,12.25
2017-04-30,37.38,$3.00,12.47
2017-01-31,31.44,$2.62,12.0
2016-10-31,26.61,$2.07,12.84
2016-07-31,23.98,$1.72,13.95
2016-04-30,18.59,$1.09,17.09
2016-01-31,15.94,$0.88,18.02
2015-10-31,15.06,$0.77,19.48
2015-07-31,15.5,$0.71,21.78
2015-04-30,17.58,$0.90,19.59
2015-01-31,20.21,$1.01,19.99
2014-10-31,19.46,$1.27,15.36
2014-07-31,18.38,$0.96,19.24
2014-04-30,16.63,$0.80,20.78
2014-01-31,14.6,$0.64,22.77
2013-10-31,15.41,$0.35,44.08
2013-07-31,13.99,$0.66,21.13
2013-04-30,12.35,$0.89,13.82
2013-01-31,10.92,$1.19,9.21
2012-10-31,8.89,$1.32,6.72
2012-07-31,9.06,$1.51,5.99
2012-04-30,9.89,$1.43,6.93
2012-01-31,10.07,$1.48,6.81
2011-10-31,10.03,$1.67,6.01
2011-07-31,9.96,$1.56,6.38
2011-04-30,12.61,$1.35,9.37
2011-01-31,12.56,$1.22,10.32
2010-10-31,9.83,$1.15,8.53
2010-07-31,9.33,$0.92,10.11
2010-04-30,10.84,$0.83,13.09
2010-01-31,9.53,$0.49,19.3
2009-10-31,9.5,$0.06,150.85
