Expeditors Of Washington Price to Free Cash Flow Ratio Historical Data,Expeditors Of Washington Price to Free Cash Flow Ratio Historical Data,Expeditors Of Washington Price to Free Cash Flow Ratio Historical Data,Expeditors Of Washington Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,126.42,,24.98
2024-03-31,121.57,$5.06,24.02
2023-12-31,127.2,$6.80,18.71
2023-09-30,113.98,$8.74,13.04
2023-06-30,120.44,$11.52,10.45
2023-03-31,108.81,$13.62,7.99
2022-12-31,102.69,$12.53,8.19
2022-09-30,86.76,$11.43,7.59
2022-06-30,95.75,$8.28,11.56
2022-03-31,100.73,$5.26,19.16
2021-12-31,131.13,$4.92,26.65
2021-09-30,115.77,$3.91,29.63
2021-06-30,123.03,$3.81,32.33
2021-03-31,104.17,$4.65,22.39
2020-12-31,92.0,$3.55,25.88
2020-09-30,87.06,$3.67,23.73
2020-06-30,73.13,$3.65,20.05
2020-03-31,63.73,$3.49,18.26
2019-12-31,74.53,$4.16,17.92
2019-09-30,70.49,$3.79,18.61
2019-06-30,71.98,$3.37,21.35
2019-03-31,71.51,$3.32,21.57
2018-12-31,64.15,$2.95,21.72
2018-09-30,68.87,$3.46,19.93
2018-06-30,68.46,$3.30,20.76
2018-03-31,58.93,$2.86,20.59
2017-12-31,60.22,$2.63,22.89
2017-09-30,55.37,$1.91,28.94
2017-06-30,52.24,$2.20,23.75
2017-03-31,51.84,$2.37,21.91
2016-12-31,48.6,$2.57,18.88
2016-09-30,46.92,$2.83,16.58
2016-06-30,44.67,$2.93,15.25
2016-03-31,44.09,$3.31,13.32
2015-12-31,40.74,$2.75,14.83
2015-09-30,42.2,$2.59,16.32
2015-06-30,41.35,$2.33,17.74
2015-03-31,42.87,$1.65,26.03
2014-12-31,39.7,$1.82,21.85
2014-09-30,35.86,$1.68,21.33
2014-06-30,39.02,$1.66,23.56
2014-03-31,34.77,$1.78,19.51
2013-12-31,38.83,$1.71,22.68
2013-09-30,38.4,$1.69,22.66
2013-06-30,33.15,$1.59,20.81
2013-03-31,30.9,$1.66,18.6
2012-12-31,34.2,$1.52,22.48
2012-09-30,31.2,$1.70,18.38
2012-06-30,33.26,$1.75,18.97
2012-03-31,39.63,$1.64,24.09
2011-12-31,34.9,$1.76,19.8
2011-09-30,34.34,$1.90,18.06
2011-06-30,43.35,$2.03,21.35
2011-03-31,42.27,$1.81,23.41
2010-12-31,46.02,$1.63,28.21
2010-09-30,38.82,$1.18,32.78
2010-06-30,28.98,$0.86,33.54
2010-03-31,30.84,$1.16,26.49
2009-12-31,29.04,$1.37,21.22
