Verizon Price to Free Cash Flow Ratio Historical Data,Verizon Price to Free Cash Flow Ratio Historical Data,Verizon Price to Free Cash Flow Ratio Historical Data,Verizon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,41.17,,23.7
2024-03-31,41.29,$1.74,23.77
2023-12-31,36.47,$1.49,24.45
2023-09-30,30.69,$1.76,17.4
2023-06-30,34.59,$1.65,20.98
2022-12-31,35.49,$3.34,10.62
2022-09-30,33.63,$7.03,4.78
2022-06-30,44.38,$6.35,6.99
2022-03-31,44.01,$6.22,7.07
2021-12-31,44.37,$7.56,5.87
2023-03-31,35.59,$4.73,7.53
2021-09-30,45.58,$5.45,8.37
2021-06-30,46.76,$4.22,11.08
2021-03-31,48.01,$3.47,13.85
2020-12-31,47.99,$3.79,12.66
2020-09-30,48.08,$3.74,12.86
2019-12-31,48.04,$4.30,11.17
2019-09-30,46.74,$4.45,10.5
2019-06-30,43.78,$2.75,15.94
2019-03-31,44.84,$2.88,15.56
2018-12-31,42.19,$3.77,11.2
2020-06-30,44.05,$3.31,13.31
2018-09-30,39.63,$3.89,10.18
2018-06-30,36.92,$3.24,11.38
2018-03-31,34.66,$2.65,13.06
2017-12-31,37.93,$1.73,21.93
2017-09-30,35.04,$0.85,40.98
2017-06-30,31.2,$0.32,99.0
2017-03-31,33.66,$-0.29,0.0
2016-12-31,36.46,$1.13,32.18
2016-09-30,35.1,$2.85,12.34
2016-06-30,37.33,$3.94,9.48
2016-03-31,35.78,$4.62,7.74
2015-12-31,30.2,$5.19,5.82
2015-09-30,28.07,$4.74,5.92
2015-06-30,29.72,$4.49,6.62
2015-03-31,30.67,$4.08,7.51
2014-12-31,29.15,$3.38,8.63
2014-09-30,30.81,$4.49,6.86
2014-06-30,29.83,$5.93,5.03
2014-03-31,28.69,$7.23,3.97
2013-12-31,29.32,$7.73,3.79
2013-09-30,27.53,$6.43,4.28
2013-06-30,29.39,$5.93,4.96
2013-03-31,28.4,$5.88,4.83
2012-12-31,24.71,$5.35,4.62
2012-09-30,25.74,$6.30,4.09
2012-06-30,24.82,$6.15,4.04
2012-03-31,21.08,$5.37,3.92
2011-12-31,21.83,$4.77,4.58
2011-09-30,19.75,$4.40,4.49
2011-06-30,19.72,$4.08,4.83
2011-03-31,20.16,$4.91,4.1
2010-12-31,18.47,$5.97,3.09
2010-09-30,16.58,$6.08,2.73
2010-06-30,13.1,$6.23,2.1
2010-03-31,14.28,$5.37,2.66
2009-12-31,15.03,$5.11,2.94
2009-09-30,13.51,$4.61,2.93
