Raymond James Financial Price to Free Cash Flow Ratio Historical Data,Raymond James Financial Price to Free Cash Flow Ratio Historical Data,Raymond James Financial Price to Free Cash Flow Ratio Historical Data,Raymond James Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,120.69,,27.54
2024-03-31,128.42,$4.38,29.3
2023-12-31,111.11,$-0.34,0.0
2023-09-30,99.68,$-17.00,0.0
2023-06-30,102.56,$-39.91,0.0
2023-03-31,91.81,$-11.87,0.0
2022-12-31,104.71,$-3.58,0.0
2022-09-30,96.46,$-0.09,0.0
2022-06-30,86.98,$42.33,2.05
2022-03-31,106.18,$22.25,4.77
2021-12-31,96.68,$11.22,8.62
2021-09-30,88.86,$31.12,2.86
2021-06-30,83.15,$16.21,5.13
2021-03-31,78.22,$8.39,9.32
2020-12-31,60.61,$25.42,2.38
2020-09-30,46.1,$18.78,2.45
2020-06-30,43.39,$15.21,2.85
2020-03-31,39.63,$15.78,2.51
2019-12-31,55.76,$1.08,51.87
2019-09-30,51.19,$1.46,35.03
2019-06-30,52.27,$-3.34,0.0
2019-03-31,49.51,$-1.92,0.0
2018-09-30,56.18,$3.36,16.72
2018-06-30,54.36,$-6.19,0.0
2018-03-31,54.21,$-3.18,0.0
2017-12-31,53.84,$-3.03,0.0
2017-09-30,50.85,$-1.43,0.0
2017-06-30,48.24,$2.71,17.81
2017-03-31,45.74,$1.47,31.06
2016-12-31,41.42,$-0.85,0.0
2016-09-30,34.7,$-3.21,0.0
2016-06-30,29.29,$1.30,22.55
2016-03-31,28.17,$1.63,17.29
2015-12-31,34.15,$3.71,9.21
2015-09-30,29.14,$3.77,7.74
2015-06-30,34.85,$2.07,16.81
2015-03-31,33.11,$3.21,10.32
2014-12-31,33.31,$3.10,10.75
2014-09-30,31.05,$2.08,14.95
2014-06-30,29.31,$3.03,9.68
2014-03-31,32.22,$2.65,12.18
2013-12-31,29.97,$1.75,17.14
2013-09-30,23.86,$2.78,8.57
2013-06-30,24.53,$2.44,10.07
2013-03-31,26.22,$2.01,13.08
2012-12-31,21.85,$2.82,7.74
2012-09-30,20.71,$1.59,13.05
2012-06-30,19.28,$3.34,5.78
2012-03-31,20.49,$2.41,8.51
2011-12-31,17.3,$1.48,11.72
2011-09-30,14.45,$8.26,1.75
2011-06-30,17.81,$-0.11,0.0
2011-03-31,21.1,$0.59,35.86
2010-12-31,17.98,$1.59,11.31
2010-09-30,13.87,$-5.82,0.0
2010-06-30,13.46,$-0.19,0.0
2010-03-31,14.52,$0.70,20.63
2009-12-31,12.85,$0.22,58.47
2009-09-30,12.53,$1.92,6.51
