CarMax Price to Free Cash Flow Ratio Historical Data,CarMax Price to Free Cash Flow Ratio Historical Data,CarMax Price to Free Cash Flow Ratio Historical Data,CarMax Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,71.63,,0.0
2024-02-29,79.0,$-0.03,0.0
2023-11-30,63.94,$-4.37,0.0
2023-08-31,81.68,$2.01,40.73
2023-05-31,72.21,$0.70,103.14
2023-02-28,69.04,$5.42,12.74
2022-11-30,69.36,$5.20,13.34
2022-08-31,88.44,$-6.39,0.0
2022-05-31,99.27,$-13.58,0.0
2022-02-28,109.33,$-17.30,0.0
2021-11-30,141.25,$-15.45,0.0
2021-08-31,125.21,$-10.96,0.0
2021-05-31,115.19,$-5.23,0.0
2021-02-28,119.51,$3.06,39.07
2020-11-30,93.48,$3.30,28.34
2020-08-31,106.93,$3.19,33.54
2020-05-31,88.05,$4.06,21.68
2020-02-29,87.31,$-3.41,0.0
2019-11-30,97.26,$-2.28,0.0
2019-08-31,83.28,$-2.24,0.0
2019-05-31,78.28,$-1.86,0.0
2019-02-28,62.1,$-0.80,0.0
2018-11-30,66.07,$-0.49,0.0
2018-08-31,78.05,$-1.98,0.0
2018-05-31,68.92,$-1.80,0.0
2018-02-28,61.92,$-2.05,0.0
2017-11-30,68.91,$-3.41,0.0
2017-08-31,67.15,$-3.66,0.0
2017-05-31,62.83,$-3.89,0.0
2017-02-28,64.54,$-4.54,0.0
2016-11-30,57.79,$-2.45,0.0
2016-08-31,58.95,$-2.28,0.0
2016-05-31,53.66,$-2.43,0.0
2016-02-29,46.26,$-2.10,0.0
2015-11-30,57.3,$-4.18,0.0
2015-08-31,61.0,$-4.35,0.0
2015-05-31,71.04,$-4.36,0.0
2015-02-28,67.11,$-5.82,0.0
2014-11-30,56.98,$-5.64,0.0
2014-08-31,52.4,$-4.86,0.0
2014-05-31,44.31,$-4.71,0.0
2014-02-28,48.43,$-4.04,0.0
2013-11-30,50.35,$-4.52,0.0
2013-08-31,47.56,$-4.43,0.0
2013-05-31,46.77,$-4.17,0.0
2013-02-28,38.41,$-4.37,0.0
2012-11-30,36.26,$-3.53,0.0
2012-08-31,30.59,$-2.02,0.0
2012-05-31,28.21,$-1.69,0.0
2012-02-29,30.69,$-1.02,0.0
2011-11-30,28.76,$-0.53,0.0
2011-08-31,28.11,$-0.93,0.0
2011-05-31,29.66,$-0.60,0.0
2011-02-28,35.37,$-0.37,0.0
2010-11-30,32.9,$-0.27,0.0
2010-08-31,19.93,$0.36,55.84
2010-05-31,21.73,$0.76,28.45
2010-02-28,20.19,$0.17,118.83
2009-11-30,19.88,$0.69,28.95
