CVS Health Price to Free Cash Flow Ratio Historical Data,CVS Health Price to Free Cash Flow Ratio Historical Data,CVS Health Price to Free Cash Flow Ratio Historical Data,CVS Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,61.37,,9.63
2024-03-31,79.01,$6.37,12.4
2023-12-31,77.51,$8.06,9.62
2023-09-30,67.96,$8.74,7.78
2023-06-30,66.75,$13.60,4.91
2023-03-31,71.16,$13.27,5.36
2022-12-31,88.62,$10.17,8.72
2022-09-30,90.15,$14.80,6.09
2022-06-30,87.08,$11.97,7.28
2022-03-31,94.62,$12.18,7.77
2021-12-31,95.93,$11.85,8.1
2021-09-30,78.46,$11.54,6.8
2021-06-30,76.68,$9.44,8.13
2021-03-31,68.68,$7.17,9.57
2020-12-31,61.94,$9.27,6.68
2019-12-31,65.3,$7.96,8.2
2019-09-30,55.02,$8.09,6.8
2019-06-30,47.11,$6.85,6.88
2019-03-31,46.19,$5.65,8.18
2018-12-31,55.69,$6.54,8.51
2018-09-30,66.45,$4.16,15.99
2018-06-30,53.91,$5.70,9.46
2018-03-31,51.72,$-0.26,0.0
2017-12-31,59.9,$2.97,20.17
2017-09-30,66.75,$6.62,10.08
2017-06-30,65.62,$5.89,11.14
2020-09-30,52.52,$12.59,4.17
2017-03-31,63.61,$8.64,7.36
2016-12-31,63.55,$7.34,8.66
2016-09-30,71.32,$8.50,8.4
2016-06-30,76.4,$6.45,11.85
2016-03-31,82.43,$5.80,14.2
2015-12-31,77.35,$5.51,14.03
2015-09-30,76.07,$5.33,14.26
2015-06-30,82.43,$5.13,16.07
2015-03-31,80.84,$5.02,16.09
2014-12-31,75.17,$5.14,14.62
2014-09-30,61.91,$3.58,17.31
2014-06-30,58.42,$-2.02,0.0
2014-03-31,57.81,$3.23,17.89
2013-12-31,55.04,$2.07,26.55
2013-09-30,43.48,$2.39,18.21
2020-06-30,57.97,$7.83,7.41
2013-06-30,43.65,$2.57,16.96
2013-03-31,41.82,$2.87,14.56
2012-12-31,36.61,$3.64,10.05
2012-09-30,36.54,$2.92,12.51
2012-06-30,35.14,$3.71,9.46
2012-03-31,33.56,$3.66,9.18
2011-12-31,30.43,$2.96,10.28
2011-09-30,24.98,$3.74,6.68
2011-06-30,27.85,$3.15,8.83
2011-03-31,25.34,$2.71,9.35
2010-12-31,25.58,$2.04,12.55
2010-09-30,23.09,$1.90,12.16
2010-06-30,21.45,$1.50,14.28
2010-03-31,26.69,$1.31,20.43
2009-12-31,23.45,$1.04,22.52
2009-09-30,25.97,$2.28,11.37
