Amazon Price to Free Cash Flow Ratio Historical Data,Amazon Price to Free Cash Flow Ratio Historical Data,Amazon Price to Free Cash Flow Ratio Historical Data,Amazon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,185.57,,38.8
2024-03-31,180.38,$4.78,37.71
2023-12-31,151.94,$3.51,43.3
2023-09-30,127.12,$2.04,62.22
2023-06-30,130.36,$0.78,166.81
2023-03-31,103.29,$-0.31,0.0
2022-12-31,84.0,$-1.14,0.0
2022-09-30,112.73,$-1.91,0.0
2022-06-30,105.95,$-2.31,0.0
2022-03-31,162.61,$-1.83,0.0
2021-12-31,166.32,$-0.88,0.0
2021-09-30,163.86,$0.27,603.97
2021-06-30,171.59,$1.20,143.57
2021-03-31,154.33,$2.60,59.46
2020-12-31,162.46,$3.04,53.41
2020-09-30,157.06,$2.91,54.06
2020-06-30,137.61,$3.15,43.72
2020-03-31,97.25,$0.39,250.39
2019-12-31,92.17,$1.96,47.05
2019-09-30,86.59,$1.00,86.21
2019-06-30,94.45,$1.01,93.5
2018-12-31,74.92,$1.94,38.62
2018-09-30,99.91,$1.53,65.18
2018-06-30,84.79,$0.84,100.85
2018-03-31,72.19,$0.50,143.55
2017-12-31,58.33,$1.09,53.28
2019-03-31,88.82,$-0.19,0.0
2017-09-30,47.95,$0.82,58.59
2017-06-30,48.28,$1.00,48.5
2017-03-31,44.22,$1.05,42.05
2016-12-31,37.4,$1.08,34.59
2016-09-30,41.76,$0.96,43.55
2016-06-30,35.7,$0.82,43.72
2016-03-31,29.61,$0.71,41.7
2015-12-31,33.71,$0.78,43.17
2015-09-30,25.52,$0.58,43.71
2015-06-30,21.65,$0.48,45.18
2015-03-31,18.56,$0.34,54.78
2014-12-31,15.48,$0.21,73.4
2014-09-30,16.08,$0.12,134.81
2014-06-30,16.2,$0.11,141.61
2014-03-31,16.78,$0.16,102.18
2013-12-31,19.89,$0.22,91.08
2013-09-30,15.59,$0.05,339.75
2013-06-30,13.85,$0.03,496.46
2013-03-31,13.29,$-0.51,0.0
2012-12-31,12.51,$0.22,56.85
2012-09-30,12.69,$-0.09,0.0
2012-06-30,11.39,$-0.11,0.0
2011-12-31,8.63,$0.23,38.05
2011-09-30,10.79,$0.41,26.54
2011-06-30,10.2,$0.07,145.71
2011-03-31,8.98,$0.13,69.01
2010-12-31,8.98,$0.34,26.28
2012-03-31,10.1,$-0.38,0.0
2010-09-30,7.83,$0.21,37.47
2010-06-30,5.45,$0.23,23.84
2010-03-31,6.77,$0.27,25.35
2009-12-31,6.71,$0.33,20.31
