United Rentals Price to Free Cash Flow Ratio Historical Data,United Rentals Price to Free Cash Flow Ratio Historical Data,United Rentals Price to Free Cash Flow Ratio Historical Data,United Rentals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,640.78,,16.44
2024-03-31,719.37,$38.98,18.45
2023-12-31,570.58,$33.01,17.29
2023-09-30,440.88,$25.00,17.64
2023-06-30,440.32,$22.74,19.36
2023-03-31,389.58,$23.35,16.68
2022-12-31,348.74,$24.40,14.29
2022-09-30,265.04,$19.38,13.68
2022-06-30,238.34,$17.93,13.29
2022-03-31,348.53,$18.34,19.0
2021-12-31,326.04,$20.45,15.94
2021-09-30,344.33,$22.67,15.19
2021-06-30,313.01,$29.19,10.72
2021-03-31,323.12,$22.95,14.08
2020-12-31,227.55,$19.06,11.94
2020-09-30,171.22,$17.43,9.82
2020-06-30,146.24,$12.41,11.78
2019-12-31,163.64,$19.84,8.25
2019-09-30,122.3,$20.72,5.9
2019-06-30,130.14,$24.74,5.26
2019-03-31,112.1,$20.09,5.58
2018-12-31,100.6,$15.15,6.64
2020-03-31,100.97,$14.31,7.06
2018-09-30,160.52,$9.90,16.21
2018-06-30,144.85,$12.81,11.31
2018-03-31,169.48,$16.39,10.34
2017-12-31,168.68,$13.85,12.18
2017-09-30,136.13,$11.00,12.38
2017-03-31,122.7,$11.80,10.4
2016-12-31,103.6,$12.67,8.18
2016-09-30,77.01,$11.56,6.66
2016-06-30,65.84,$13.10,5.03
2016-03-31,61.02,$11.66,5.23
2015-12-31,71.18,$4.94,14.41
2017-06-30,110.59,$7.10,15.59
2015-09-30,58.92,$7.05,8.36
2015-06-30,85.97,$7.45,11.53
2015-03-31,89.45,$7.24,12.36
2014-12-31,100.09,$5.31,18.86
2014-09-30,109.01,$7.40,14.74
2014-06-30,102.76,$5.15,19.94
2014-03-31,93.16,$4.02,23.2
2013-12-31,76.48,$3.60,21.23
2013-09-30,57.19,$0.76,75.02
2013-06-30,48.97,$3.07,15.94
2013-03-31,53.94,$1.07,50.49
2012-12-31,44.66,$-2.30,0.0
2012-09-30,32.1,$-2.51,0.0
2012-06-30,33.4,$-3.69,0.0
2012-03-31,42.08,$-2.00,0.0
2011-12-31,28.99,$0.31,92.46
2011-09-30,16.52,$0.62,26.6
2011-06-30,24.92,$1.54,16.14
2011-03-31,32.65,$3.28,9.96
2010-12-31,22.32,$3.79,5.89
2010-09-30,14.56,$2.93,4.96
2010-06-30,9.14,$4.41,2.07
2010-03-31,9.2,$5.63,1.63
2009-12-31,9.63,$6.14,1.57
