Lennar Price to Free Cash Flow Ratio Historical Data,Lennar Price to Free Cash Flow Ratio Historical Data,Lennar Price to Free Cash Flow Ratio Historical Data,Lennar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,150.66,,9.62
2024-02-29,158.0,$15.66,10.09
2023-11-30,127.08,$17.98,7.07
2023-08-31,117.92,$18.31,6.44
2023-05-31,105.74,$16.62,6.36
2023-02-28,95.17,$14.82,6.42
2022-11-30,86.08,$11.16,7.72
2022-08-31,75.54,$5.74,13.16
2022-05-31,77.89,$6.04,12.89
2022-02-28,86.83,$-5.50,0.0
2021-11-30,101.07,$-1.16,0.0
2021-08-31,102.98,$-0.00,0.0
2021-05-31,94.78,$1.13,83.54
2020-11-30,72.22,$13.42,5.38
2020-08-31,71.02,$12.66,5.61
2020-05-31,57.28,$8.90,6.44
2020-02-29,56.99,$8.23,6.93
2019-11-30,56.23,$7.25,7.75
2021-02-28,79.23,$2.23,35.58
2019-08-31,48.05,$3.83,12.53
2019-05-31,46.75,$3.57,13.11
2019-02-28,45.13,$4.04,11.16
2018-11-30,40.16,$5.06,7.94
2018-08-31,48.51,$4.39,11.04
2018-05-31,48.54,$4.33,11.22
2018-02-28,53.04,$2.64,20.08
2017-11-30,58.82,$3.67,16.02
2017-08-31,48.46,$3.23,14.99
2017-05-31,48.0,$2.05,23.46
2017-02-28,45.61,$3.20,14.24
2016-11-30,39.73,$1.94,20.48
2016-08-31,44.14,$3.20,13.81
2016-05-31,42.49,$2.26,18.78
2016-02-29,39.07,$1.04,37.5
2015-11-30,47.66,$-1.20,0.0
2015-08-31,47.33,$-2.47,0.0
2015-05-31,43.33,$-3.18,0.0
2015-02-28,46.62,$-3.42,0.0
2014-11-30,43.82,$2.36,18.58
2014-08-31,36.31,$-1.29,0.0
2014-05-31,37.86,$-1.77,0.0
2013-11-30,33.04,$-1.93,0.0
2013-08-31,29.35,$-3.90,0.0
2013-05-31,36.24,$-3.82,0.0
2013-02-28,35.53,$-3.81,0.0
2012-11-30,34.99,$-2.75,0.0
2014-02-28,40.58,$-4.00,0.0
2012-08-31,29.8,$-3.02,0.0
2012-05-31,25.04,$-2.37,0.0
2012-02-29,21.42,$-2.04,0.0
2011-11-30,16.84,$-1.38,0.0
2011-08-31,13.41,$-0.16,0.0
2011-05-31,17.27,$-0.03,0.0
2011-02-28,18.31,$1.00,18.38
2010-11-30,13.77,$1.43,9.66
2010-08-31,11.89,$1.26,9.42
2010-05-31,15.59,$2.41,6.48
2010-02-28,14.76,$2.44,6.04
2009-11-30,11.37,$2.47,4.6
