Autodesk Price to Free Cash Flow Ratio Historical Data,Autodesk Price to Free Cash Flow Ratio Historical Data,Autodesk Price to Free Cash Flow Ratio Historical Data,Autodesk Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,239.17,,49.07
2024-04-30,212.85,$4.87,43.67
2024-01-31,253.81,$5.94,42.76
2023-10-31,197.63,$8.08,24.47
2023-07-31,211.99,$10.17,20.85
2023-04-30,194.79,$10.70,18.21
2023-01-31,215.16,$9.32,23.09
2022-10-31,214.3,$8.42,25.44
2022-07-31,216.32,$7.45,29.05
2022-04-30,189.28,$7.15,26.48
2022-01-31,249.79,$6.64,37.6
2021-10-31,317.61,$6.28,50.58
2021-07-31,321.13,$6.65,48.28
2021-04-30,291.91,$6.10,47.87
2021-01-31,277.43,$6.06,45.76
2020-10-31,235.54,$6.27,37.57
2020-07-31,236.43,$5.95,39.76
2020-04-30,187.13,$6.57,28.48
2020-01-31,196.85,$6.12,32.16
2019-10-31,147.36,$4.40,33.52
2019-07-31,156.17,$3.31,47.16
2019-04-30,178.21,$2.51,70.98
2019-01-31,147.2,$1.42,103.91
2018-10-31,129.25,$0.38,337.38
2018-07-31,128.44,$-0.03,0.0
2018-04-30,125.9,$-0.55,0.0
2018-01-31,115.62,$-0.23,0.0
2017-10-31,124.96,$-0.52,0.0
2017-07-31,110.79,$-0.29,0.0
2017-04-30,90.07,$-0.05,0.0
2017-01-31,81.34,$0.42,193.34
2016-10-31,72.28,$1.01,71.28
2016-07-31,59.45,$1.39,42.87
2016-04-30,59.82,$1.83,32.77
2016-01-31,46.82,$1.51,30.98
2015-10-31,55.19,$1.93,28.54
2015-07-31,50.58,$2.10,24.14
2015-04-30,56.83,$2.16,26.29
2015-01-31,54.01,$2.72,19.82
2014-10-31,57.54,$2.44,23.62
2014-07-31,53.35,$2.31,23.07
2014-04-30,48.02,$2.19,21.91
2014-01-31,51.25,$2.17,23.57
2013-10-31,39.9,$2.04,19.6
2013-07-31,35.39,$2.31,15.32
2013-04-30,39.38,$2.49,15.82
2013-01-31,38.88,$2.17,17.92
2012-10-31,31.85,$2.23,14.26
2012-07-31,33.92,$2.20,15.45
2012-04-30,39.37,$2.29,17.19
2012-01-31,36.0,$2.19,16.45
2011-10-31,34.6,$2.21,15.65
2011-07-31,34.4,$2.10,16.4
2011-04-30,44.98,$2.06,21.79
2011-01-31,40.68,$2.19,18.59
2010-10-31,36.2,$2.03,17.85
2010-07-31,29.54,$1.74,17.02
2010-04-30,33.99,$1.44,23.68
2010-01-31,23.79,$0.93,25.67
2009-10-31,24.93,$2.63,9.48
