Eaton Price to Free Cash Flow Ratio Historical Data,Eaton Price to Free Cash Flow Ratio Historical Data,Eaton Price to Free Cash Flow Ratio Historical Data,Eaton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,322.08,,43.9
2023-12-31,239.36,$7.34,32.62
2023-09-30,211.14,$9.01,23.43
2023-06-30,198.29,$7.48,26.52
2023-03-31,168.1,$8.02,20.95
2022-12-31,153.24,$8.21,18.66
2024-03-31,311.77,$3.68,84.75
2022-09-30,129.54,$4.42,29.32
2022-06-30,121.72,$3.02,40.36
2022-03-31,145.78,$3.54,41.18
2021-12-31,165.11,$4.06,40.63
2021-09-30,142.02,$4.56,31.17
2021-06-30,140.31,$5.76,24.35
2021-03-31,130.26,$6.19,21.03
2020-12-31,112.56,$6.35,17.71
2020-09-30,94.96,$6.10,15.56
2020-06-30,80.84,$6.32,12.8
2020-03-31,71.09,$6.38,11.15
2019-12-31,85.84,$6.81,12.61
2019-09-30,74.75,$6.47,11.55
2019-06-30,74.21,$6.19,11.98
2019-03-31,71.16,$5.26,13.52
2018-12-31,60.12,$4.79,12.55
2018-09-30,75.26,$4.85,15.53
2018-06-30,64.34,$4.31,14.91
2018-03-31,68.17,$0.73,93.3
2017-12-31,66.87,$1.32,50.67
2017-09-30,64.51,$1.29,50.0
2017-06-30,64.85,$1.16,55.87
2016-12-31,55.01,$4.54,12.11
2016-09-30,53.37,$6.79,7.86
2016-06-30,48.09,$6.01,8.0
2016-03-31,49.9,$6.51,7.67
2015-12-31,41.1,$6.84,6.01
2017-03-31,61.31,$3.47,17.65
2015-09-30,40.13,$4.15,9.67
2015-06-30,52.33,$2.63,19.88
2015-03-31,52.26,$2.76,18.94
2014-12-31,51.86,$2.61,19.84
2014-09-30,48.01,$2.49,19.29
2014-06-30,58.05,$3.40,17.08
2014-03-31,56.13,$3.35,16.77
2013-12-31,56.51,$3.51,16.12
2013-09-30,50.8,$3.41,14.9
2013-06-30,48.28,$3.60,13.4
2013-03-31,44.61,$3.60,12.38
2012-12-31,39.2,$3.05,12.84
2012-09-30,33.92,$2.92,11.63
2012-06-30,28.19,$2.90,9.72
2012-03-31,35.16,$2.52,13.95
2011-12-31,30.48,$1.98,15.37
2011-09-30,24.68,$1.98,12.46
2011-06-30,35.48,$1.51,23.54
2011-03-31,37.98,$2.07,18.34
2010-12-31,34.55,$2.62,13.21
2010-09-30,27.91,$2.87,9.71
2010-06-30,21.98,$3.18,6.91
2010-03-31,25.27,$2.88,8.77
2009-12-31,21.05,$3.61,5.83
