Oracle Price to Free Cash Flow Ratio Historical Data,Oracle Price to Free Cash Flow Ratio Historical Data,Oracle Price to Free Cash Flow Ratio Historical Data,Oracle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,141.5,,33.83
2024-05-31,117.19,$4.18,28.02
2024-02-29,111.32,$4.38,25.42
2023-11-30,115.39,$3.61,31.93
2023-08-31,119.11,$3.37,35.39
2023-05-31,104.45,$3.06,34.11
2023-02-28,85.8,$2.62,32.81
2022-11-30,81.21,$3.03,26.78
2022-08-31,72.16,$1.99,36.2
2022-05-31,69.67,$1.80,38.61
2022-02-28,73.31,$2.23,32.87
2021-11-30,87.24,$2.67,32.65
2021-08-31,85.4,$6.06,14.08
2021-05-31,75.17,$5.50,13.67
2021-02-28,61.32,$4.99,12.28
2020-08-31,53.97,$3.64,14.81
2020-05-31,50.51,$3.51,14.37
2020-02-29,46.24,$3.56,12.97
2019-11-30,52.26,$3.50,14.95
2019-08-31,48.25,$3.52,13.72
2019-05-31,46.7,$3.45,13.52
2019-02-28,47.9,$3.40,14.07
2018-11-30,44.63,$3.43,13.0
2018-08-31,44.47,$1.94,22.97
2018-05-31,42.6,$1.28,33.31
2018-02-28,46.01,$0.87,53.18
2017-11-30,44.37,$0.16,277.0
2017-05-31,40.74,$2.87,14.19
2017-02-28,38.06,$3.42,11.12
2016-11-30,35.78,$4.31,8.3
2016-08-31,36.55,$4.98,7.34
2016-05-31,35.52,$3.76,9.45
2017-08-31,45.34,$3.51,12.92
2016-02-29,32.38,$2.96,10.95
2015-11-30,34.16,$2.18,15.66
2015-08-31,32.39,$2.53,12.82
2015-05-31,37.83,$1.49,25.33
2015-02-28,37.99,$2.06,18.44
2020-11-30,54.66,$3.00,18.21
2014-11-30,36.66,$3.19,11.48
2014-08-31,35.79,$3.24,11.06
2014-05-31,36.11,$3.11,11.59
2014-02-28,33.51,$3.09,10.86
2013-11-30,30.14,$3.10,9.72
2013-08-31,27.11,$3.00,9.05
2013-05-31,28.64,$2.80,10.22
2013-02-28,29.03,$2.66,10.92
2012-11-30,27.12,$2.58,10.51
2012-08-31,26.63,$2.67,9.98
2012-05-31,22.22,$2.57,8.65
2012-02-29,24.51,$2.55,9.6
2011-11-30,26.21,$2.48,10.56
2011-08-31,23.42,$2.41,9.7
2011-05-31,28.5,$2.12,13.45
2011-02-28,27.35,$1.87,14.62
2010-11-30,22.45,$1.70,13.18
2010-08-31,18.1,$0.89,20.39
2010-05-31,18.66,$0.53,35.37
2010-02-28,20.34,$0.46,44.56
2009-11-30,18.18,$0.85,21.47
