Altria Price to Free Cash Flow Ratio Historical Data,Altria Price to Free Cash Flow Ratio Historical Data,Altria Price to Free Cash Flow Ratio Historical Data,Altria Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,45.74,,20.15
2024-03-31,42.68,$2.27,18.8
2023-12-31,38.59,$2.06,18.69
2023-09-30,39.27,$1.97,19.96
2023-06-30,41.38,$0.02,2111.41
2022-12-31,40.02,$4.46,8.97
2022-09-30,34.64,$5.88,5.9
2022-06-30,35.04,$5.83,6.01
2022-03-31,43.0,$7.77,5.53
2021-12-31,38.34,$5.90,6.5
2023-03-31,39.91,$4.70,8.49
2021-09-30,36.13,$4.39,8.23
2021-06-30,37.16,$4.15,8.95
2021-03-31,39.17,$6.01,6.52
2020-12-31,30.85,$5.71,5.4
2020-09-30,28.49,$5.88,4.84
2020-03-31,27.37,$4.52,6.06
2019-12-31,34.43,$4.06,8.48
2019-09-30,27.75,$3.64,7.63
2019-06-30,31.5,$3.56,8.85
2019-03-31,37.61,$4.06,9.27
2018-12-31,31.89,$4.32,7.38
2018-09-30,38.3,$3.26,11.74
2018-06-30,35.6,$2.36,15.08
2018-03-31,38.59,$2.95,13.09
2017-12-31,43.74,$1.09,40.31
2020-06-30,28.37,$2.60,10.9
2017-09-30,38.49,$2.21,17.45
2017-06-30,44.73,$-0.04,0.0
2017-03-31,42.55,$1.22,34.88
2016-12-31,39.96,$1.28,31.27
2016-09-30,37.03,$0.50,74.57
2015-12-31,33.17,$2.86,11.59
2015-09-30,30.7,$2.90,10.57
2015-06-30,27.31,$2.86,9.55
2015-03-31,27.63,$4.66,5.93
2014-12-31,26.95,$2.71,9.95
2016-03-31,36.04,$2.87,12.57
2014-09-30,24.87,$2.23,11.17
2014-06-30,22.44,$1.96,11.45
2014-03-31,19.79,$2.98,6.64
2013-12-31,20.03,$1.30,15.41
2013-09-30,17.7,$1.39,12.77
2016-06-30,40.0,$1.37,29.28
2013-06-30,17.79,$2.12,8.39
2013-03-31,17.27,$1.79,9.67
2012-12-31,15.58,$1.86,8.39
2012-09-30,16.32,$1.48,11.02
2012-06-30,16.67,$1.41,11.81
2012-03-31,14.71,$1.60,9.22
2011-12-31,13.94,$1.68,8.28
2011-09-30,12.44,$1.69,7.36
2011-06-30,12.06,$1.35,8.9
2011-03-31,11.72,$1.27,9.24
2010-12-31,10.92,$1.25,8.74
2010-09-30,10.5,$1.42,7.41
2010-06-30,8.62,$1.63,5.3
2010-03-31,8.67,$1.53,5.68
2009-12-31,8.16,$1.53,5.33
