Celanese Price to Free Cash Flow Ratio Historical Data,Celanese Price to Free Cash Flow Ratio Historical Data,Celanese Price to Free Cash Flow Ratio Historical Data,Celanese Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,137.0,,9.63
2024-03-31,171.08,$14.22,12.03
2023-12-31,153.96,$12.17,12.65
2023-09-30,123.62,$9.38,13.18
2023-06-30,113.41,$9.91,11.45
2023-03-31,105.95,$7.66,13.84
2022-12-31,98.89,$11.68,8.47
2022-09-30,86.75,$11.73,7.39
2022-06-30,112.27,$13.53,8.3
2022-03-31,135.72,$12.94,10.49
2021-12-31,158.9,$11.51,13.81
2021-09-30,141.83,$9.43,15.05
2021-06-30,142.1,$7.66,18.56
2021-03-31,139.82,$7.31,19.14
2020-12-31,120.64,$8.26,14.6
2020-09-30,99.23,$8.04,12.34
2020-06-30,79.2,$7.66,10.34
2020-03-31,66.8,$8.09,8.26
2019-12-31,111.43,$8.70,12.81
2019-09-30,110.13,$9.31,11.82
2019-06-30,96.54,$9.55,10.11
2019-03-31,87.81,$10.38,8.46
2018-12-31,79.69,$9.02,8.84
2018-09-30,100.97,$6.77,14.92
2018-06-30,97.91,$5.32,18.42
2018-03-31,87.91,$3.37,26.08
2017-12-31,93.52,$3.88,24.13
2017-09-30,90.67,$3.35,27.04
2017-06-30,82.16,$3.68,22.34
2017-03-31,77.35,$3.90,19.84
2016-12-31,67.51,$4.44,15.2
2016-09-30,56.78,$5.51,10.31
2016-06-30,55.53,$4.23,13.12
2016-03-31,55.3,$3.01,18.38
2015-12-31,56.54,$2.25,25.18
2015-09-30,49.47,$1.63,30.3
2015-06-30,59.83,$2.36,25.31
2015-03-31,46.28,$2.42,19.14
2014-12-31,49.47,$1.82,27.2
2014-09-30,48.07,$2.40,20.03
2014-06-30,52.58,$1.96,26.84
2014-03-31,45.22,$2.08,21.73
2013-12-31,44.9,$2.42,18.58
2013-09-30,42.72,$1.93,22.08
2013-06-30,36.12,$2.18,16.56
2013-03-31,35.45,$1.84,19.31
2012-12-31,35.78,$1.95,18.33
2012-09-30,30.4,$2.29,13.26
2012-06-30,27.71,$1.37,20.28
2012-03-31,36.91,$1.08,34.13
2011-12-31,35.34,$0.53,66.09
2011-09-30,25.93,$-0.11,0.0
2011-06-30,42.44,$-0.00,0.0
2011-03-31,35.29,$-0.45,0.0
2010-12-31,32.7,$-0.39,0.0
2010-09-30,25.46,$2.62,9.71
2010-06-30,19.72,$2.25,8.75
2010-03-31,25.19,$2.15,11.7
2009-12-31,25.35,$2.67,9.48
