Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data,Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data,Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data,Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,41.93,,6.9
2024-03-31,53.6,$6.07,8.82
2023-12-31,50.14,$6.09,8.24
2023-09-30,56.15,$5.61,10.0
2023-06-30,60.77,$5.04,12.06
2023-03-31,65.34,$5.20,12.57
2022-12-31,67.3,$5.57,12.09
2022-09-30,65.99,$5.84,11.29
2022-06-30,71.47,$6.48,11.03
2022-03-31,67.31,$6.82,9.87
2021-12-31,56.55,$6.79,8.33
2021-09-30,53.67,$6.55,8.19
2021-06-30,59.67,$5.19,11.49
2021-03-31,56.37,$5.84,9.65
2020-12-31,54.96,$5.89,9.33
2020-09-30,52.61,$5.44,9.67
2020-06-30,50.92,$6.01,8.47
2020-03-31,47.88,$5.24,9.13
2019-12-31,54.75,$4.31,12.71
2019-09-30,42.9,$5.33,8.06
2019-06-30,38.03,$4.52,8.42
2019-03-31,39.66,$3.89,10.2
2018-12-31,42.82,$3.74,11.46
2018-09-30,50.81,$2.26,22.52
2018-06-30,44.98,$2.50,18.02
2018-03-31,51.08,$2.78,18.35
2017-12-31,49.17,$2.55,19.25
2017-09-30,50.83,$2.68,18.98
2017-06-30,44.13,$2.43,18.19
2017-03-31,42.75,$1.72,24.89
2016-12-31,45.64,$1.10,41.61
2016-09-30,41.82,$0.82,51.27
2016-06-30,57.05,$0.35,161.25
2016-03-31,49.29,$0.19,255.27
2015-12-31,52.77,$0.77,68.95
2015-09-30,45.16,$0.64,70.9
2015-06-30,50.17,$0.94,53.27
2015-03-31,48.35,$1.56,30.94
2014-12-31,44.25,$1.57,28.18
2014-09-30,37.86,$2.07,18.29
2014-06-30,35.62,$2.15,16.55
2014-03-31,37.88,$2.44,15.54
2013-12-31,38.76,$1.81,21.41
2013-09-30,33.27,$1.43,23.29
2013-06-30,31.87,$3.56,8.96
2013-03-31,29.13,$3.30,8.82
2012-12-31,22.8,$3.79,6.02
2012-09-30,23.38,$4.19,5.58
2012-06-30,24.66,$2.46,10.02
2012-03-31,22.92,$2.52,9.09
2011-12-31,23.7,$2.61,9.1
2011-09-30,20.89,$2.71,7.71
2011-06-30,19.28,$2.48,7.78
2011-03-31,17.4,$2.40,7.25
2010-12-31,17.0,$2.36,7.22
2010-09-30,17.4,$2.37,7.34
2010-06-30,15.82,$2.24,7.05
2010-03-31,16.73,$2.00,8.35
2009-12-31,15.63,$1.97,7.94
