T Rowe Price Price to Free Cash Flow Ratio Historical Data,T Rowe Price Price to Free Cash Flow Ratio Historical Data,T Rowe Price Price to Free Cash Flow Ratio Historical Data,T Rowe Price Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,118.42,,26.69
2024-03-31,120.62,$4.44,27.19
2023-12-31,105.4,$4.05,26.0
2023-09-30,101.49,$4.22,24.05
2023-06-30,107.22,$5.74,18.68
2023-03-31,106.89,$6.78,15.76
2022-12-31,102.08,$9.34,10.93
2022-09-30,97.25,$11.57,8.4
2022-06-30,104.12,$13.75,7.57
2022-03-31,137.04,$14.54,9.43
2021-12-31,176.69,$14.04,12.58
2021-09-30,175.76,$12.40,14.17
2021-06-30,176.0,$8.01,21.97
2021-03-31,149.41,$8.31,17.98
2020-12-31,131.0,$7.37,17.77
2020-09-30,110.28,$7.53,14.65
2020-06-30,105.47,$8.64,12.2
2020-03-31,82.78,$6.44,12.85
2019-12-31,102.43,$5.52,18.54
2019-09-30,95.46,$6.04,15.81
2019-06-30,91.08,$6.01,15.15
2019-03-31,82.53,$6.16,13.41
2018-12-31,75.53,$5.88,12.85
2018-09-30,88.66,$4.78,18.56
2018-06-30,93.67,$3.38,27.69
2018-03-31,86.62,$1.54,56.28
2017-12-31,83.68,$0.18,472.49
2017-09-30,71.89,$0.38,188.48
2017-06-30,58.46,$0.69,84.55
2017-03-31,53.27,$0.52,102.99
2016-12-31,58.36,$0.09,657.92
2016-09-30,51.2,$0.96,53.17
2016-06-30,55.74,$1.87,29.85
2016-03-31,55.69,$3.54,15.72
2015-12-31,53.79,$5.29,10.18
2015-09-30,51.87,$5.26,9.86
2015-06-30,57.64,$5.12,11.25
2015-03-31,58.18,$4.73,12.31
2014-12-31,61.3,$4.55,13.46
2014-09-30,55.68,$4.41,12.64
2014-06-30,59.62,$4.13,14.42
2014-03-31,57.85,$4.30,13.44
2013-12-31,58.54,$4.23,13.83
2013-09-30,50.02,$4.14,12.09
2013-06-30,50.63,$3.99,12.7
2013-03-31,51.52,$3.87,13.33
2012-12-31,44.59,$3.16,14.09
2012-09-30,42.45,$2.96,14.36
2012-06-30,42.0,$2.88,14.58
2012-03-31,43.31,$3.03,14.3
2011-12-31,37.57,$3.29,11.42
2011-09-30,31.34,$3.42,9.18
2011-06-30,39.35,$3.04,12.95
2011-03-31,43.08,$2.66,16.22
2010-12-31,41.66,$2.32,17.96
2010-09-30,32.18,$2.48,12.96
2010-06-30,28.37,$2.20,12.92
2010-03-31,34.94,$1.98,17.62
2009-12-31,33.68,$1.53,21.99
