ConocoPhillips Price to Free Cash Flow Ratio Historical Data,ConocoPhillips Price to Free Cash Flow Ratio Historical Data,ConocoPhillips Price to Free Cash Flow Ratio Historical Data,ConocoPhillips Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,111.34,,14.94
2024-03-31,126.47,$7.45,16.97
2023-12-31,114.53,$7.75,14.77
2023-09-30,117.62,$8.97,13.12
2023-06-30,100.78,$11.77,8.56
2023-03-31,95.45,$15.88,6.01
2022-12-31,112.33,$16.92,6.64
2022-09-30,96.47,$17.68,5.46
2022-06-30,83.14,$15.39,5.4
2022-03-31,91.48,$12.61,7.25
2021-12-31,65.51,$10.03,6.53
2021-09-30,60.96,$6.67,9.13
2021-06-30,54.36,$3.30,16.46
2021-03-31,46.91,$1.04,45.18
2020-12-31,35.09,$1.30,26.94
2020-09-30,28.45,$2.00,14.26
2020-06-30,36.03,$4.87,7.39
2020-03-31,26.15,$6.36,4.11
2019-12-31,54.83,$6.66,8.24
2019-09-30,47.68,$7.81,6.11
2019-06-30,50.78,$6.81,7.46
2019-03-31,55.29,$6.53,8.47
2018-12-31,51.42,$6.18,8.32
2018-09-30,63.56,$4.59,13.84
2018-06-30,56.94,$5.57,10.22
2018-03-31,48.3,$13.57,3.56
2017-12-31,44.47,$13.39,3.32
2017-09-30,40.33,$13.61,2.96
2017-06-30,35.21,$11.33,3.11
2017-03-31,39.72,$2.36,16.81
2016-12-31,39.72,$0.66,60.33
2016-09-30,34.24,$0.48,71.06
2016-06-30,34.13,$-0.02,0.0
2016-03-31,31.34,$-0.56,0.0
2015-12-31,36.06,$-0.42,0.0
2015-09-30,36.55,$-2.40,0.0
2015-06-30,46.17,$-1.71,0.0
2015-03-31,46.28,$-2.01,0.0
2014-12-31,50.79,$0.87,58.22
2014-09-30,55.71,$7.42,7.5
2014-06-30,61.88,$7.72,8.02
2014-03-31,50.34,$8.73,5.76
2013-12-31,50.02,$8.73,5.73
2013-09-30,48.74,$3.63,13.43
2013-06-30,41.98,$3.45,12.18
2013-03-31,41.27,$2.37,17.42
2012-12-31,39.37,$1.50,26.21
2012-09-30,38.37,$4.05,9.48
2012-06-30,37.07,$5.23,7.09
2012-03-31,38.25,$8.58,4.46
2011-12-31,36.34,$8.03,4.52
2011-09-30,31.27,$10.47,2.99
2011-06-30,36.81,$14.27,2.58
2011-03-31,38.75,$16.38,2.37
2010-12-31,32.76,$16.52,1.98
2010-09-30,27.37,$13.03,2.1
2010-06-30,23.16,$8.11,2.86
2010-03-31,23.89,$3.29,7.27
2009-12-31,23.6,$1.93,12.24
