Weyerhaeuser Price to Free Cash Flow Ratio Historical Data,Weyerhaeuser Price to Free Cash Flow Ratio Historical Data,Weyerhaeuser Price to Free Cash Flow Ratio Historical Data,Weyerhaeuser Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,29.02,,28.59
2024-03-31,35.91,$1.02,35.38
2023-12-31,34.42,$1.03,33.47
2023-09-30,30.17,$1.03,29.27
2023-06-30,32.79,$1.19,27.66
2023-03-31,29.29,$-0.56,0.0
2022-12-31,29.15,$-0.46,0.0
2022-09-30,26.71,$0.58,46.42
2022-06-30,30.81,$1.38,22.35
2021-12-31,36.6,$3.42,10.7
2021-09-30,31.04,$3.17,9.8
2021-06-30,29.9,$2.95,10.15
2021-03-31,30.78,$1.94,15.89
2020-12-31,28.84,$1.10,26.21
2020-09-30,24.39,$1.38,17.62
2020-06-30,19.21,$0.92,20.89
2020-03-31,14.49,$-0.36,0.0
2019-12-31,25.5,$0.78,32.68
2019-09-30,23.12,$0.48,47.95
2019-06-30,21.71,$0.42,51.86
2022-03-31,35.09,$1.24,28.34
2019-03-31,21.4,$0.73,29.11
2018-12-31,17.52,$0.91,19.35
2018-09-30,25.86,$0.68,38.3
2018-06-30,28.93,$1.55,18.63
2018-03-31,27.54,$1.42,19.44
2017-12-31,27.49,$1.30,21.12
2017-09-30,26.29,$0.38,68.34
2017-06-30,25.64,$0.20,127.2
2017-03-31,25.77,$0.21,123.18
2016-12-31,22.61,$0.31,72.59
2016-09-30,23.76,$1.56,15.24
2016-06-30,21.93,$1.23,17.89
2016-03-31,22.6,$1.19,18.98
2015-12-31,21.62,$1.07,20.21
2015-09-30,19.51,$1.09,17.82
2015-06-30,22.22,$1.29,17.17
2015-03-31,23.18,$1.16,20.06
2014-12-31,24.89,$1.32,18.81
2014-09-30,21.9,$1.44,15.17
2014-06-30,22.55,$1.36,16.53
2014-03-31,19.86,$1.57,12.62
2013-12-31,21.21,$1.28,16.57
2013-09-30,19.09,$1.18,16.17
2013-06-30,18.85,$0.80,23.67
2013-03-31,20.63,$0.58,35.73
2012-12-31,18.19,$0.55,33.32
2012-09-30,16.98,$0.99,17.09
2012-06-30,14.44,$1.01,14.28
2012-03-31,14.05,$0.44,32.28
2011-12-31,11.88,$0.76,15.57
2011-09-30,9.81,$1.05,9.34
2011-06-30,13.68,$0.70,19.47
2011-03-31,15.29,$1.10,13.96
2010-12-31,11.69,$2.09,5.59
2010-09-30,9.7,$2.87,3.38
2010-06-30,8.15,$2.96,2.75
2010-03-31,10.47,$1.77,5.93
2009-12-31,9.96,$-0.34,0.0
