Aptiv Price to Free Cash Flow Ratio Historical Data,Aptiv Price to Free Cash Flow Ratio Historical Data,Aptiv Price to Free Cash Flow Ratio Historical Data,Aptiv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,75.21,,40.05
2024-03-31,79.65,$1.88,42.42
2023-12-31,89.72,$4.74,18.92
2023-09-30,98.59,$4.08,24.16
2023-06-30,102.09,$1.79,57.1
2022-12-31,93.13,$1.56,59.7
2022-09-30,78.21,$2.08,37.55
2022-06-30,89.07,$0.23,393.42
2022-03-31,119.71,$0.04,3334.54
2021-12-31,164.95,$2.32,71.24
2023-03-31,112.19,$-0.56,0.0
2021-09-30,148.97,$3.08,48.32
2021-06-30,157.33,$5.38,29.24
2021-03-31,137.9,$3.70,37.25
2020-12-31,130.29,$3.10,42.04
2020-09-30,91.68,$2.59,35.46
2020-06-30,77.92,$1.52,51.3
2020-03-31,49.24,$3.74,13.18
2019-12-31,94.74,$3.33,28.45
2019-09-30,87.01,$3.40,25.62
2019-06-30,80.24,$2.63,30.53
2019-03-31,78.69,$2.75,28.65
2018-12-31,60.78,$3.00,20.28
2018-09-30,82.58,$1.62,51.11
2018-06-30,89.99,$1.71,52.64
2018-03-31,83.26,$2.12,39.29
2017-12-31,82.92,$2.91,28.54
2017-09-30,80.37,$4.50,17.85
2017-06-30,71.37,$5.35,13.33
2017-03-31,65.32,$5.16,12.66
2016-12-31,54.44,$4.80,11.35
2016-09-30,57.41,$5.02,11.43
2016-06-30,50.17,$4.81,10.43
2016-03-31,59.88,$-0.23,0.0
2015-12-31,68.1,$2.06,33.06
2015-09-30,60.22,$0.52,116.24
2015-06-30,67.18,$1.52,44.2
2014-12-31,57.07,$4.62,12.36
2014-09-30,47.96,$6.27,7.65
2014-06-30,53.55,$4.93,10.85
2014-03-31,52.67,$4.12,12.77
2013-12-31,46.49,$5.85,7.95
2015-03-31,62.77,$1.61,39.08
2013-09-30,45.03,$2.39,18.86
2013-06-30,38.95,$3.43,11.35
2013-03-31,33.99,$2.26,15.07
2012-12-31,29.17,$3.82,7.65
2012-09-30,23.64,$4.44,5.33
