International Paper Price to Free Cash Flow Ratio Historical Data,International Paper Price to Free Cash Flow Ratio Historical Data,International Paper Price to Free Cash Flow Ratio Historical Data,International Paper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,46.08,,19.26
2024-03-31,38.62,$2.39,16.14
2023-12-31,35.31,$1.99,17.71
2023-09-30,34.17,$2.62,13.03
2023-06-30,30.24,$2.53,11.96
2023-03-31,33.77,$2.36,14.29
2022-12-31,32.05,$3.42,9.36
2022-09-30,28.97,$2.04,14.2
2022-06-30,37.83,$3.04,12.45
2022-03-31,41.34,$4.04,10.24
2021-12-31,41.67,$4.03,10.34
2021-09-30,49.14,$6.01,8.17
2021-06-30,53.41,$5.97,8.95
2021-03-31,46.73,$6.01,7.78
2020-12-31,42.52,$5.86,7.25
2020-09-30,34.3,$5.49,6.25
2020-06-30,29.38,$5.50,5.34
2020-03-31,25.59,$5.73,4.47
2019-12-31,37.41,$5.90,6.34
2019-09-30,33.6,$5.81,5.78
2019-06-30,34.8,$5.72,6.09
2019-03-31,36.74,$4.73,7.77
2018-12-31,31.72,$4.05,7.83
2018-09-30,38.21,$4.51,8.47
2018-06-30,40.12,$0.71,56.6
2018-03-31,40.8,$0.73,55.74
2017-12-31,43.88,$0.94,46.76
2017-09-30,42.66,$0.31,136.35
2017-06-30,42.14,$2.84,14.86
2017-03-31,37.46,$2.62,14.3
2016-12-31,38.81,$2.76,14.04
2016-09-30,34.74,$2.82,12.32
2016-06-30,30.4,$3.90,7.8
2016-03-31,29.13,$2.68,10.86
2015-12-31,26.41,$2.69,9.83
2015-09-30,26.19,$3.21,8.15
2015-06-30,32.7,$3.42,9.55
2015-03-31,37.85,$4.43,8.54
2014-12-31,36.28,$4.10,8.85
2014-09-30,32.09,$3.73,8.61
2014-06-30,33.21,$3.40,9.76
2014-03-31,29.96,$3.99,7.5
2013-12-31,31.79,$4.26,7.47
2013-09-30,28.82,$3.65,7.9
2013-06-30,28.33,$3.82,7.41
2013-03-31,29.59,$3.62,8.18
2012-12-31,25.13,$3.59,7.0
2012-09-30,22.71,$3.30,6.88
2012-06-30,17.94,$3.25,5.52
2012-03-31,21.59,$3.38,6.39
2011-12-31,18.06,$3.47,5.21
2011-09-30,14.06,$4.69,3.0
2011-06-30,17.84,$2.50,7.13
2011-03-31,17.91,$2.65,6.76
2010-12-31,16.06,$1.97,8.15
2010-09-30,12.76,$2.46,5.2
2010-06-30,13.2,$6.31,2.09
2010-03-31,14.29,$8.15,1.75
2009-12-31,15.53,$9.63,1.61
