Nucor Price to Free Cash Flow Ratio Historical Data,Nucor Price to Free Cash Flow Ratio Historical Data,Nucor Price to Free Cash Flow Ratio Historical Data,Nucor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,157.58,,0.0
2024-03-31,197.9,$-12.22,0.0
2023-12-31,173.57,$-4.02,0.0
2023-09-30,155.45,$2.15,72.29
2023-06-30,162.51,$0.82,198.52
2022-12-31,129.78,$30.99,4.19
2022-09-30,104.94,$36.75,2.86
2022-06-30,101.93,$30.11,3.39
2022-03-31,144.44,$27.58,5.24
2021-12-31,110.55,$23.38,4.73
2023-03-31,152.61,$11.01,13.87
2021-09-30,94.96,$8.83,10.75
2021-06-30,92.12,$6.00,15.37
2021-03-31,76.75,$5.35,14.34
2020-12-31,50.61,$3.94,12.85
2020-09-30,42.36,$4.11,10.3
2020-06-30,38.75,$4.63,8.37
2020-03-31,33.38,$2.60,12.84
2019-12-31,51.56,$4.50,11.47
2019-09-30,46.31,$4.27,10.85
2019-06-30,49.71,$4.73,10.52
2019-03-31,52.26,$5.90,8.86
2018-12-31,46.09,$4.56,10.12
2018-09-30,56.01,$4.55,12.31
2018-06-30,54.84,$3.08,17.82
2018-03-31,53.28,$1.36,39.25
2017-12-31,55.1,$1.97,27.96
2017-09-30,48.28,$2.46,19.62
2017-06-30,49.52,$2.14,23.09
2017-03-31,50.77,$-1.56,0.0
2016-12-31,50.28,$-1.03,0.0
2016-09-30,41.52,$-0.52,0.0
2016-06-30,41.17,$0.51,80.59
2015-12-31,33.06,$5.69,5.81
2015-09-30,30.52,$5.41,5.65
2015-06-30,35.46,$5.46,6.5
2015-03-31,37.94,$4.93,7.7
2014-12-31,38.84,$3.76,10.34
2016-03-31,39.11,$2.70,14.5
2014-09-30,42.66,$0.86,49.37
2014-06-30,38.45,$0.16,241.97
2014-03-31,39.17,$0.03,1243.34
2013-12-31,41.06,$-0.27,0.0
2013-09-30,37.45,$-0.70,0.0
2013-06-30,32.85,$0.30,111.37
2013-03-31,34.71,$0.18,193.57
2012-12-31,32.2,$0.95,33.73
2012-09-30,28.3,$2.50,11.34
2012-06-30,27.77,$1.90,14.61
2012-03-31,31.16,$2.24,13.92
2011-12-31,28.47,$1.95,14.62
2011-09-30,22.55,$2.95,7.66
2011-06-30,29.05,$3.45,8.42
2011-03-31,32.14,$1.78,18.08
2010-12-31,30.37,$1.75,17.38
2010-09-30,26.26,$0.47,56.29
2010-06-30,26.07,$-0.15,0.0
2010-03-31,30.63,$2.70,11.35
2009-12-31,31.24,$2.52,12.39
