Invitation Home Price to Free Cash Flow Ratio Historical Data,Invitation Home Price to Free Cash Flow Ratio Historical Data,Invitation Home Price to Free Cash Flow Ratio Historical Data,Invitation Home Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,35.42,,16.24
2024-03-31,35.61,$2.18,16.33
2023-12-31,33.84,$2.19,15.44
2023-09-30,30.93,$2.12,14.6
2023-06-30,33.33,$1.85,18.02
2023-03-31,30.03,$1.76,17.06
2022-12-31,28.28,$1.53,18.52
2022-09-30,31.98,$1.52,21.0
2022-06-30,33.5,$1.50,22.32
2022-03-31,37.6,$0.38,99.41
2021-12-31,42.2,$0.19,220.73
2021-09-30,35.53,$0.51,69.53
2021-06-30,34.42,$0.45,76.23
2020-12-31,27.13,$1.51,17.93
2020-09-30,25.43,$3.35,7.59
2020-06-30,24.88,$3.31,7.53
2020-03-31,19.2,$3.40,5.65
2019-12-31,26.8,$3.59,7.46
2021-03-31,29.38,$2.17,13.53
2019-09-30,26.36,$2.29,11.52
2019-06-30,23.68,$2.18,10.86
2019-03-31,21.44,$1.97,10.87
2018-12-31,17.6,$1.66,10.59
2018-09-30,19.98,$1.02,19.57
2018-06-30,20.01,$0.91,21.91
2018-03-31,19.72,$0.92,21.33
2017-12-31,20.25,$1.09,18.56
