Caterpillar Price to Free Cash Flow Ratio Historical Data,Caterpillar Price to Free Cash Flow Ratio Historical Data,Caterpillar Price to Free Cash Flow Ratio Historical Data,Caterpillar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,327.84,,15.17
2024-03-31,365.09,$21.61,16.89
2023-12-31,293.25,$20.59,14.24
2023-09-30,269.36,$18.16,14.83
2023-06-30,241.58,$15.30,15.79
2023-03-31,223.46,$13.43,16.64
2022-12-31,232.79,$11.31,20.59
2022-09-30,158.45,$9.04,17.52
2022-06-30,171.48,$7.69,22.29
2022-03-31,212.65,$7.60,27.98
2021-12-31,196.32,$10.92,17.97
2021-09-30,181.29,$12.11,14.97
2021-06-30,204.41,$12.07,16.93
2021-03-31,216.81,$10.78,20.11
2020-12-31,169.3,$9.08,18.64
2020-09-30,137.89,$9.45,14.58
2020-06-30,116.07,$7.94,14.63
2020-03-31,105.54,$9.60,10.99
2019-12-31,133.39,$9.51,14.03
2019-09-30,113.19,$8.62,13.13
2019-06-30,121.22,$9.24,13.12
2019-03-31,119.79,$8.27,14.48
2018-12-31,111.64,$7.64,14.62
2018-09-30,133.11,$5.38,24.73
2018-06-30,117.7,$5.38,21.87
2018-03-31,127.21,$6.15,20.7
2017-12-31,135.39,$7.57,17.9
2017-09-30,106.52,$9.52,11.19
2017-06-30,91.12,$9.14,9.97
2017-03-31,78.02,$8.45,9.24
2016-12-31,77.37,$6.18,12.52
2016-09-30,73.4,$5.68,12.92
2016-06-30,62.09,$5.98,10.39
2016-03-31,62.08,$5.85,10.61
2015-12-31,54.42,$6.98,7.79
2015-09-30,51.77,$6.95,7.45
2015-06-30,66.58,$7.80,8.53
2015-03-31,62.3,$7.77,8.01
2014-12-31,70.67,$8.88,7.96
2014-09-30,75.89,$9.47,8.01
2014-06-30,82.74,$10.61,7.8
2014-03-31,75.22,$11.56,6.51
2013-12-31,68.3,$10.00,6.83
2013-09-30,62.29,$8.77,7.11
2013-06-30,61.18,$5.65,10.83
2013-03-31,64.09,$3.23,19.86
2012-12-31,66.03,$1.83,36.09
2012-09-30,62.66,$1.47,42.66
2012-06-30,61.45,$3.31,18.57
2012-03-31,76.76,$5.28,14.55
2011-12-31,65.0,$6.59,9.87
2011-09-30,52.69,$8.24,6.39
2011-06-30,75.65,$7.06,10.72
2011-03-31,78.8,$5.62,14.02
2010-12-31,65.98,$5.98,11.03
2010-09-30,55.12,$6.06,9.09
2010-06-30,41.79,$7.13,5.86
2010-03-31,43.46,$8.15,5.33
2009-12-31,39.13,$8.42,4.65
