Juniper Networks Price to Free Cash Flow Ratio Historical Data,Juniper Networks Price to Free Cash Flow Ratio Historical Data,Juniper Networks Price to Free Cash Flow Ratio Historical Data,Juniper Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,35.69,,13.55
2024-03-31,37.06,$2.63,14.07
2023-12-31,29.31,$2.19,13.39
2023-09-30,27.41,$2.55,10.74
2023-06-30,30.67,$1.74,17.66
2023-03-31,33.46,$-0.08,0.0
2022-12-31,30.85,$-0.02,0.0
2022-09-30,25.05,$-0.03,0.0
2022-06-30,27.13,$0.20,132.81
2022-03-31,35.14,$0.76,46.25
2021-12-31,33.56,$0.53,63.58
2021-09-30,25.7,$0.54,47.23
2021-06-30,25.36,$0.45,56.24
2020-12-31,20.54,$1.53,13.46
2020-09-30,19.44,$1.96,9.9
2020-06-30,20.51,$2.18,9.39
2020-03-31,17.03,$2.41,7.06
2019-12-31,21.71,$1.84,11.77
2021-03-31,23.31,$1.50,15.51
2019-09-30,21.65,$1.49,14.51
2019-06-30,23.1,$1.54,15.04
2019-03-31,22.79,$1.75,13.01
2018-12-31,23.0,$2.01,11.42
2018-09-30,25.62,$1.94,13.22
2018-06-30,23.29,$1.89,12.33
2018-03-31,20.53,$2.19,9.36
2017-12-31,23.88,$2.88,8.28
2017-09-30,23.23,$3.24,7.18
2017-06-30,23.19,$3.30,7.03
2017-03-31,23.07,$3.36,6.86
2016-12-31,23.35,$2.35,9.93
2016-09-30,19.8,$1.73,11.47
2016-06-30,18.43,$1.80,10.25
2016-03-31,20.81,$1.62,12.86
2015-12-31,22.43,$1.73,13.0
2015-09-30,20.82,$2.10,9.92
2015-06-30,20.95,$1.31,16.03
2015-03-31,18.15,$0.46,39.2
2014-12-31,17.87,$0.72,24.87
2014-09-30,17.65,$0.48,36.86
2014-06-30,19.48,$1.10,17.7
2013-12-31,17.91,$1.21,14.84
2013-09-30,15.76,$0.94,16.69
2013-06-30,15.32,$0.81,18.82
2013-03-31,14.71,$0.56,26.17
2012-12-31,15.61,$0.95,16.38
2014-03-31,20.44,$0.58,35.54
2012-09-30,13.58,$0.74,18.45
2012-06-30,12.94,$0.79,16.31
2012-03-31,18.16,$1.03,17.62
2011-12-31,16.2,$1.33,12.17
2011-09-30,13.7,$1.63,8.4
2011-06-30,25.0,$1.55,16.11
2011-03-31,33.39,$1.41,23.73
2010-12-31,29.3,$1.16,25.18
2010-09-30,24.09,$0.99,24.44
2010-06-30,18.11,$1.19,15.25
2010-03-31,24.35,$1.05,23.16
2009-12-31,21.17,$1.20,17.58
