Snap-On Price to Free Cash Flow Ratio Historical Data,Snap-On Price to Free Cash Flow Ratio Historical Data,Snap-On Price to Free Cash Flow Ratio Historical Data,Snap-On Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,266.75,,12.92
2024-03-31,294.26,$20.65,14.25
2023-12-31,284.97,$19.70,14.46
2023-09-30,249.95,$18.03,13.86
2023-06-30,280.71,$15.22,18.45
2023-03-31,239.0,$12.89,18.54
2022-12-31,219.73,$11.00,19.98
2022-09-30,192.31,$11.27,17.06
2022-06-30,187.04,$12.40,15.09
2022-03-31,193.78,$14.16,13.68
2021-12-31,201.75,$16.34,12.35
2021-09-30,194.45,$17.92,10.85
2021-06-30,206.74,$18.66,11.08
2021-03-31,212.46,$19.12,11.11
2020-12-31,156.59,$17.24,9.08
2020-09-30,133.66,$15.05,8.88
2020-06-30,124.93,$12.99,9.62
2020-03-31,97.37,$10.67,9.13
2019-12-31,150.55,$10.32,14.59
2019-09-30,138.2,$10.57,13.07
2019-06-30,145.31,$10.46,13.89
2019-03-31,136.48,$11.28,12.1
2018-12-31,125.94,$11.77,10.7
2018-09-30,158.24,$11.23,14.08
2018-06-30,137.87,$10.81,12.76
2018-03-31,125.87,$9.77,12.88
2017-12-31,147.91,$9.01,16.42
2017-09-30,125.8,$8.56,14.7
2017-06-30,132.76,$8.87,14.97
2017-03-31,141.12,$9.38,15.05
2016-12-31,142.7,$8.48,16.82
2016-09-30,126.07,$8.49,14.85
2016-06-30,130.42,$8.48,15.39
2016-03-31,129.25,$8.32,15.53
2015-12-31,140.54,$7.28,19.3
2015-09-30,123.3,$6.31,19.53
2015-06-30,129.66,$5.82,22.29
2015-03-31,119.33,$5.30,22.52
2014-12-31,110.55,$5.47,20.21
2014-09-30,97.51,$5.89,16.54
2014-06-30,95.12,$5.88,16.17
2014-03-31,90.73,$5.74,15.8
2013-12-31,87.21,$5.59,15.6
2013-09-30,78.9,$5.14,15.34
2013-06-30,70.59,$4.89,14.45
2013-03-31,65.04,$4.56,14.28
2012-12-31,61.82,$4.29,14.42
2012-09-30,55.97,$3.87,14.46
2012-06-30,48.24,$3.51,13.73
2012-03-31,46.97,$1.81,25.88
2011-12-31,38.78,$1.21,32.07
2011-09-30,33.81,$0.83,40.59
2011-06-30,47.25,$0.44,108.56
2011-03-31,45.18,$1.74,25.91
2010-12-31,42.33,$1.66,25.43
2010-09-30,34.58,$2.45,14.12
2010-06-30,30.2,$3.49,8.65
2010-03-31,31.78,$4.97,6.39
2009-12-31,30.77,$4.91,6.27
