Pool Price to Free Cash Flow Ratio Historical Data,Pool Price to Free Cash Flow Ratio Historical Data,Pool Price to Free Cash Flow Ratio Historical Data,Pool Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,337.92,,15.13
2024-03-31,402.24,$22.34,18.01
2023-12-31,396.39,$21.24,18.67
2023-09-30,352.87,$22.14,15.94
2023-06-30,370.18,$19.72,18.77
2023-03-31,337.27,$18.70,18.04
2022-12-31,296.92,$11.08,26.79
2022-09-30,311.48,$5.65,55.16
2022-06-30,342.9,$2.87,119.6
2022-03-31,411.83,$-0.24,0.0
2021-12-31,550.28,$6.81,80.76
2021-09-30,421.7,$8.32,50.7
2021-06-30,444.51,$8.26,53.85
2021-03-31,333.98,$4.37,76.34
2020-12-31,359.74,$3.90,92.14
2020-09-30,322.53,$7.19,44.83
2020-06-30,261.64,$4.57,57.24
2019-12-31,203.31,$6.49,31.3
2019-09-30,192.57,$7.10,27.11
2019-06-30,181.83,$4.00,45.41
2019-03-31,156.58,$4.66,33.62
2018-12-31,140.7,$4.05,34.74
2020-03-31,188.86,$0.84,226.13
2018-09-30,157.48,$2.00,78.8
2018-06-30,142.56,$2.94,48.57
2018-03-31,137.18,$1.80,76.31
2017-12-31,121.32,$3.63,33.38
2017-09-30,100.91,$5.73,17.63
2017-03-31,110.6,$3.07,35.99
2016-12-31,96.45,$3.05,31.64
2016-09-30,87.09,$3.97,21.95
2016-06-30,86.37,$3.37,25.67
2016-03-31,80.31,$2.90,27.69
2015-12-31,73.7,$2.64,27.89
2015-09-30,65.76,$5.35,12.28
2015-06-30,63.59,$0.16,400.97
2015-03-31,62.98,$2.18,28.88
2014-12-31,57.08,$3.23,17.67
2017-06-30,109.3,$-1.76,0.0
2014-09-30,48.34,$1.49,32.43
2014-06-30,50.51,$1.36,37.18
2014-03-31,54.55,$1.83,29.85
2013-12-31,51.56,$1.82,28.38
2013-09-30,49.55,$0.65,76.36
2013-06-30,46.15,$0.73,62.86
2013-03-31,42.11,$2.03,20.71
2012-12-31,37.0,$2.14,17.3
2012-09-30,36.22,$3.15,11.51
2012-06-30,35.09,$2.27,15.45
2012-03-31,32.31,$1.19,27.24
2011-12-31,25.89,$1.14,22.79
2011-09-30,22.41,$0.85,26.33
2011-06-30,25.37,$0.61,41.93
2011-03-31,20.42,$1.40,14.57
2010-12-31,18.99,$1.71,11.09
2010-09-30,16.81,$1.67,10.04
2010-06-30,18.24,$2.02,9.02
2010-03-31,18.75,$2.62,7.16
2009-12-31,15.7,$2.16,7.26
