Deere Price to Free Cash Flow Ratio Historical Data,Deere Price to Free Cash Flow Ratio Historical Data,Deere Price to Free Cash Flow Ratio Historical Data,Deere Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,375.04,,10.88
2024-04-30,391.41,$34.46,11.36
2024-01-31,392.17,$31.74,12.36
2023-10-31,362.72,$30.90,11.74
2023-07-31,425.0,$25.97,16.37
2023-04-30,372.81,$26.68,13.97
2023-01-31,415.73,$14.91,27.87
2022-10-31,388.08,$30.03,12.92
2022-07-31,335.35,$25.04,13.39
2022-01-31,365.52,$19.83,18.44
2021-10-31,331.39,$28.57,11.6
2021-07-31,349.02,$47.17,7.4
2021-04-30,357.03,$19.42,18.38
2021-01-31,277.37,$24.20,11.46
2020-10-31,216.35,$27.79,7.79
2022-04-30,367.56,$-3.48,0.0
2020-07-31,168.27,$24.84,6.77
2020-04-30,137.76,$19.80,6.96
2020-01-31,149.8,$16.06,9.33
2019-10-31,163.78,$12.29,13.33
2019-07-31,155.09,$10.31,15.04
2019-04-30,154.36,$6.25,24.69
2019-01-31,152.11,$5.98,25.43
2018-10-31,124.96,$7.36,16.98
2018-07-31,132.98,$4.59,29.0
2018-04-30,123.68,$5.76,21.46
2018-01-31,151.5,$7.54,20.1
2017-10-31,120.51,$9.41,12.81
2017-07-31,115.77,$12.41,9.33
2017-04-30,100.24,$14.71,6.81
2017-01-31,95.62,$14.17,6.75
2016-10-31,78.41,$13.84,5.67
2016-07-31,68.52,$13.61,5.03
2016-04-30,73.62,$12.30,5.99
2016-01-31,66.91,$0.52,128.17
2015-10-31,67.25,$9.93,6.77
2015-07-31,80.88,$6.36,12.72
2015-04-30,76.93,$2.14,36.03
2014-10-31,71.73,$9.75,7.36
2014-07-31,70.85,$11.41,6.21
2014-04-30,77.19,$5.93,13.01
2014-01-31,70.68,$10.05,7.03
2013-10-31,66.92,$12.33,5.43
2015-01-31,71.91,$-0.06,0.0
2013-07-31,67.51,$6.27,10.77
2013-04-30,72.12,$2.69,26.85
2013-01-31,75.53,$1.44,52.46
2012-10-31,68.24,$1.61,42.28
2012-07-31,61.01,$0.08,757.88
2012-04-30,65.03,$2.31,28.12
2012-01-31,67.63,$3.65,18.51
2011-10-31,59.27,$4.62,12.82
2011-07-31,60.94,$3.58,17.02
2011-04-30,75.3,$2.29,32.94
2011-01-31,69.94,$3.60,19.41
2010-10-31,58.84,$5.00,11.77
2010-07-31,50.88,$5.80,8.77
2010-04-30,45.41,$7.99,5.68
2010-01-31,37.75,$7.06,5.34
2009-10-31,34.25,$3.66,9.34
